case_id,candidate_id,canonical_source,source_label,video_conditioned,readable,eligible_for_rerank,rank_score,rank_status,selection,rank_reason,reject_reason,repair_action,artifact_path,duration_sec,duration_sec_probe,rms,rms_probe,peak,peak_probe,silence_ratio,silence_ratio_probe,path_exists,audio_probe_error,merge_count
forest_bird_branch_001,forest_bird_branch_001__control_rule_foley_v0,control_rule_foley,control_seed,false,true,true,1.0,ranked,rejected,source=control_rule_foley; readable=True; path_exists=True; duration=8.0; peak=0.421448; rms=0.09411; silence=0.055628; merge_count=1,,,/home/GRT/work/grt_work/audio_engineering_repo_skeleton_v1/artifacts/model_runs/week17_control_baseline/forest_bird_branch_001/forest_bird_branch_001__control_rule_foley_v0.wav,,8.0,,0.09411,,0.421448,0.055628,0.002326,True,,1
forest_bird_branch_001,forest_bird_branch_001__control_rule_foley_v0,control_or_repair_candidate,control_or_repair_candidate,false,true,true,1.0,ranked,rejected,source=control_or_repair_candidate; readable=True; path_exists=True; duration=8.0; peak=0.421448; rms=0.09411; silence=0.002326; merge_count=1,,,artifacts/model_runs/week17_control_baseline/forest_bird_branch_001/forest_bird_branch_001__control_rule_foley_v0.wav,,8.0,,0.09411,,0.421448,,0.002326,True,,1
forest_bird_branch_001,forest_bird_branch_001__mmaudio__dss_avoid_priority,fallback_mmaudio,fallback_mmaudio_baseline,false,true,true,1.0,ranked,winner,source=fallback_mmaudio; readable=True; path_exists=True; duration=8.0; peak=0.350006103515625; rms=0.016114918515086174; silence=0.0088671875; merge_count=3,,,experiments/mmaudio_baseline_2026_06_30/candidates/forest_bird_branch_001__mmaudio__dss_avoid_priority.wav,8.0,8.0,0.016114918515086174,0.016115,0.350006103515625,0.350006,0.0088671875,0.008867,True,,3
forest_bird_branch_001,forest_bird_branch_001__mmaudio__dss_compact,fallback_mmaudio,fallback_mmaudio_baseline,false,true,true,1.0,ranked,rejected,source=fallback_mmaudio; readable=True; path_exists=True; duration=8.0; peak=0.35369873046875; rms=0.016216369345784187; silence=0.0085078125; merge_count=3,,,experiments/mmaudio_baseline_2026_06_30/candidates/forest_bird_branch_001__mmaudio__dss_compact.wav,8.0,8.0,0.016216369345784187,0.016216,0.35369873046875,0.353699,0.0085078125,0.008508,True,,3
glass_drop_room_001,glass_drop_room_001__control_rule_foley_v0,control_rule_foley,control_seed,false,true,true,1.0,ranked,rejected,source=control_rule_foley; readable=True; path_exists=True; duration=7.0; peak=0.409882; rms=0.104635; silence=0.078286; merge_count=1,,,/home/GRT/work/grt_work/audio_engineering_repo_skeleton_v1/artifacts/model_runs/week17_control_baseline/glass_drop_room_001/glass_drop_room_001__control_rule_foley_v0.wav,,7.0,,0.104635,,0.409882,0.078286,0.00336,True,,1
glass_drop_room_001,glass_drop_room_001__control_rule_foley_v0,control_or_repair_candidate,control_or_repair_candidate,false,true,true,1.0,ranked,rejected,source=control_or_repair_candidate; readable=True; path_exists=True; duration=7.0; peak=0.409882; rms=0.104635; silence=0.00336; merge_count=1,,,artifacts/model_runs/week17_control_baseline/glass_drop_room_001/glass_drop_room_001__control_rule_foley_v0.wav,,7.0,,0.104635,,0.409882,,0.00336,True,,1
glass_drop_room_001,glass_drop_room_001__mmaudio__dss_avoid_priority,fallback_mmaudio,fallback_mmaudio_baseline,false,true,true,1.0,ranked,winner,source=fallback_mmaudio; readable=True; path_exists=True; duration=7.0; peak=0.352752685546875; rms=0.01716248132288456; silence=0.00842857142857143; merge_count=3,,,experiments/mmaudio_baseline_2026_06_30/candidates/glass_drop_room_001__mmaudio__dss_avoid_priority.wav,7.0,7.0,0.01716248132288456,0.017162,0.352752685546875,0.352753,0.00842857142857143,0.008429,True,,3
glass_drop_room_001,glass_drop_room_001__mmaudio__dss_compact,fallback_mmaudio,fallback_mmaudio_baseline,false,true,true,1.0,ranked,rejected,source=fallback_mmaudio; readable=True; path_exists=True; duration=7.0; peak=0.4444580078125; rms=0.016829639673233032; silence=0.008616071428571428; merge_count=3,,,experiments/mmaudio_baseline_2026_06_30/candidates/glass_drop_room_001__mmaudio__dss_compact.wav,7.0,7.0,0.016829639673233032,0.01683,0.4444580078125,0.444458,0.008616071428571428,0.008616,True,,3
glass_drop_room_001,glass_drop_room_001__mmaudio__true_replacement_v0,true_mmaudio_blocker,true_mmaudio_attempt,false,false,false,0.0,blocked,rejected,true_mmaudio_runtime_blocked_not_eligible,true_mmaudio_attempt_not_readable_or_not_generated,,,0,,0,,0,,1,,False,empty_path,1
glass_drop_room_001,true_mmaudio_attempt__blocked__20260701,true_mmaudio_blocker,true_mmaudio_attempt,false,false,false,0.0,blocked,rejected,true_mmaudio_runtime_blocked_not_eligible,candidate_id=glass_drop_room_001__mmaudio__true_replacement_v0; case_id=glass_drop_room_001; model=MMAudio; status=blocked; video_conditioned=False; fallback_used=False,keep_as_blocker_then_use_labeled_fallback_race,reports/mmaudio_true_one_attempt_failures.json,,,,,,,,,True,not_wav,1
kitchen_chop_sizzle_001,kitchen_chop_sizzle_001__control_rule_foley_v0,control_rule_foley,control_seed,false,true,true,1.0,ranked,rejected,source=control_rule_foley; readable=True; path_exists=True; duration=10.0; peak=0.38562; rms=0.110776; silence=0.064533; merge_count=1,,,/home/GRT/work/grt_work/audio_engineering_repo_skeleton_v1/artifacts/model_runs/week17_control_baseline/kitchen_chop_sizzle_001/kitchen_chop_sizzle_001__control_rule_foley_v0.wav,,10.0,,0.110776,,0.38562,0.064533,0.002673,True,,1
kitchen_chop_sizzle_001,kitchen_chop_sizzle_001__control_rule_foley_v0,control_or_repair_candidate,control_or_repair_candidate,false,true,true,1.0,ranked,rejected,source=control_or_repair_candidate; readable=True; path_exists=True; duration=10.0; peak=0.38562; rms=0.110776; silence=0.002673; merge_count=1,,,artifacts/model_runs/week17_control_baseline/kitchen_chop_sizzle_001/kitchen_chop_sizzle_001__control_rule_foley_v0.wav,,10.0,,0.110776,,0.38562,,0.002673,True,,1
kitchen_chop_sizzle_001,kitchen_chop_sizzle_001__control_rule_foley_v0_repair_v1,control_or_repair_candidate,control_or_repair_candidate,false,true,true,1.0,ranked,rejected,source=control_or_repair_candidate; readable=True; path_exists=True; duration=10.0; peak=0.813934; rms=0.122269; silence=0.003033; merge_count=1,,,artifacts/model_runs/week17_control_repaired/kitchen_chop_sizzle_001/kitchen_chop_sizzle_001__control_rule_foley_v0_repair_v1.wav,,10.0,,0.122269,,0.813934,,0.003033,True,,1
kitchen_chop_sizzle_001,kitchen_chop_sizzle_001__mmaudio__dss_avoid_priority,fallback_mmaudio,fallback_mmaudio_baseline,false,true,true,1.0,ranked,winner,source=fallback_mmaudio; readable=True; path_exists=True; duration=10.0; peak=0.377410888671875; rms=0.015005960129201412; silence=0.0087; merge_count=3,,,experiments/mmaudio_baseline_2026_06_30/candidates/kitchen_chop_sizzle_001__mmaudio__dss_avoid_priority.wav,10.0,10.0,0.015005960129201412,0.015006,0.377410888671875,0.377411,0.0087,0.0087,True,,3
kitchen_chop_sizzle_001,kitchen_chop_sizzle_001__mmaudio__dss_compact,fallback_mmaudio,fallback_mmaudio_baseline,false,true,true,1.0,ranked,rejected,source=fallback_mmaudio; readable=True; path_exists=True; duration=10.0; peak=0.32940673828125; rms=0.015135027468204498; silence=0.008675; merge_count=3,,,experiments/mmaudio_baseline_2026_06_30/candidates/kitchen_chop_sizzle_001__mmaudio__dss_compact.wav,10.0,10.0,0.015135027468204498,0.015135,0.32940673828125,0.329407,0.008675,0.008675,True,,3
kitchen_chop_sizzle_001,kitchen_chop_sizzle_001__repair_seed__unknown,repair_candidate,repair_seed,false,false,false,0.0,rejected,rejected,not_readable_or_not_eligible,,,,,,,,,,,,False,empty_path,1
robot_warehouse_pick_001,robot_warehouse_pick_001__control_rule_foley_v0,control_rule_foley,control_seed,false,true,true,1.0,ranked,rejected,source=control_rule_foley; readable=True; path_exists=True; duration=11.0; peak=0.340149; rms=0.06734; silence=0.075636; merge_count=1,,,/home/GRT/work/grt_work/audio_engineering_repo_skeleton_v1/artifacts/model_runs/week17_control_baseline/robot_warehouse_pick_001/robot_warehouse_pick_001__control_rule_foley_v0.wav,,11.0,,0.06734,,0.340149,0.075636,0.002962,True,,1
robot_warehouse_pick_001,robot_warehouse_pick_001__control_rule_foley_v0,control_or_repair_candidate,control_or_repair_candidate,false,true,true,1.0,ranked,rejected,source=control_or_repair_candidate; readable=True; path_exists=True; duration=11.0; peak=0.340149; rms=0.06734; silence=0.002962; merge_count=1,,,artifacts/model_runs/week17_control_baseline/robot_warehouse_pick_001/robot_warehouse_pick_001__control_rule_foley_v0.wav,,11.0,,0.06734,,0.340149,,0.002962,True,,1
robot_warehouse_pick_001,robot_warehouse_pick_001__mmaudio__dss_avoid_priority,fallback_mmaudio,fallback_mmaudio_baseline,false,true,true,1.0,ranked,winner,source=fallback_mmaudio; readable=True; path_exists=True; duration=11.0; peak=0.3558349609375; rms=0.01481595914810896; silence=0.009130681818181819; merge_count=3,,,experiments/mmaudio_baseline_2026_06_30/candidates/robot_warehouse_pick_001__mmaudio__dss_avoid_priority.wav,11.0,11.0,0.01481595914810896,0.015222,0.3558349609375,0.355835,0.009130681818181819,0.0091,True,,3
robot_warehouse_pick_001,robot_warehouse_pick_001__mmaudio__dss_compact,fallback_mmaudio,fallback_mmaudio_baseline,false,true,true,1.0,ranked,rejected,source=fallback_mmaudio; readable=True; path_exists=True; duration=11.0; peak=0.33758544921875; rms=0.014517366886138916; silence=0.008488636363636363; merge_count=3,,,experiments/mmaudio_baseline_2026_06_30/candidates/robot_warehouse_pick_001__mmaudio__dss_compact.wav,11.0,11.0,0.014517366886138916,0.014905,0.33758544921875,0.337585,0.008488636363636363,0.008462,True,,3
street_rain_crosswalk_001,street_rain_crosswalk_001__control_rule_foley_v0,control_rule_foley,control_seed,false,true,true,1.0,ranked,rejected,source=control_rule_foley; readable=True; path_exists=True; duration=9.0; peak=0.421783; rms=0.069062; silence=0.057479; merge_count=1,,,/home/GRT/work/grt_work/audio_engineering_repo_skeleton_v1/artifacts/model_runs/week17_control_baseline/street_rain_crosswalk_001/street_rain_crosswalk_001__control_rule_foley_v0.wav,,9.0,,0.069062,,0.421783,0.057479,0.002382,True,,1
street_rain_crosswalk_001,street_rain_crosswalk_001__control_rule_foley_v0,control_or_repair_candidate,control_or_repair_candidate,false,true,true,1.0,ranked,rejected,source=control_or_repair_candidate; readable=True; path_exists=True; duration=9.0; peak=0.421783; rms=0.069062; silence=0.002382; merge_count=1,,,artifacts/model_runs/week17_control_baseline/street_rain_crosswalk_001/street_rain_crosswalk_001__control_rule_foley_v0.wav,,9.0,,0.069062,,0.421783,,0.002382,True,,1
street_rain_crosswalk_001,street_rain_crosswalk_001__mmaudio__dss_avoid_priority,fallback_mmaudio,fallback_mmaudio_baseline,false,true,true,1.0,ranked,winner,source=fallback_mmaudio; readable=True; path_exists=True; duration=9.0; peak=0.32318115234375; rms=0.015169627964496613; silence=0.009055555555555556; merge_count=3,,,experiments/mmaudio_baseline_2026_06_30/candidates/street_rain_crosswalk_001__mmaudio__dss_avoid_priority.wav,9.0,9.0,0.015169627964496613,0.01517,0.32318115234375,0.323181,0.009055555555555556,0.009056,True,,3
street_rain_crosswalk_001,street_rain_crosswalk_001__mmaudio__dss_compact,fallback_mmaudio,fallback_mmaudio_baseline,false,true,true,1.0,ranked,rejected,source=fallback_mmaudio; readable=True; path_exists=True; duration=9.0; peak=0.36334228515625; rms=0.015538826584815979; silence=0.008923611111111111; merge_count=3,,,experiments/mmaudio_baseline_2026_06_30/candidates/street_rain_crosswalk_001__mmaudio__dss_compact.wav,9.0,9.0,0.015538826584815979,0.015539,0.36334228515625,0.363342,0.008923611111111111,0.008924,True,,3
subway_arrival_door_001,subway_arrival_door_001__control_rule_foley_v0,control_rule_foley,control_seed,false,true,true,1.0,ranked,rejected,source=control_rule_foley; readable=True; path_exists=True; duration=12.0; peak=0.316467; rms=0.047012; silence=0.056891; merge_count=1,,,/home/GRT/work/grt_work/audio_engineering_repo_skeleton_v1/artifacts/model_runs/week17_control_baseline/subway_arrival_door_001/subway_arrival_door_001__control_rule_foley_v0.wav,,12.0,,0.047012,,0.316467,0.056891,0.002138,True,,1
subway_arrival_door_001,subway_arrival_door_001__control_rule_foley_v0,control_or_repair_candidate,control_or_repair_candidate,false,true,true,1.0,ranked,rejected,source=control_or_repair_candidate; readable=True; path_exists=True; duration=12.0; peak=0.316467; rms=0.047012; silence=0.002138; merge_count=1,,,artifacts/model_runs/week17_control_baseline/subway_arrival_door_001/subway_arrival_door_001__control_rule_foley_v0.wav,,12.0,,0.047012,,0.316467,,0.002138,True,,1
subway_arrival_door_001,subway_arrival_door_001__mmaudio__dss_avoid_priority,fallback_mmaudio,fallback_mmaudio_baseline,false,true,true,1.0,ranked,winner,source=fallback_mmaudio; readable=True; path_exists=True; duration=12.0; peak=0.320068359375; rms=0.014108228497207165; silence=0.008489583333333333; merge_count=3,,,experiments/mmaudio_baseline_2026_06_30/candidates/subway_arrival_door_001__mmaudio__dss_avoid_priority.wav,12.0,12.0,0.014108228497207165,0.014809,0.320068359375,0.320068,0.008489583333333333,0.008756,True,,3
subway_arrival_door_001,subway_arrival_door_001__mmaudio__dss_compact,fallback_mmaudio,fallback_mmaudio_baseline,false,true,true,1.0,ranked,rejected,source=fallback_mmaudio; readable=True; path_exists=True; duration=12.0; peak=0.37310791015625; rms=0.014335204847157001; silence=0.009104166666666667; merge_count=3,,,experiments/mmaudio_baseline_2026_06_30/candidates/subway_arrival_door_001__mmaudio__dss_compact.wav,12.0,12.0,0.014335204847157001,0.015066,0.37310791015625,0.373108,0.009104166666666667,0.009025,True,,3
