candidateRowId,candidateId,audioUri,sceneId,eventId,layer,label,expectedStartSec,expectedEndSec,expectedClipDurationSec,expectedWindowDurationSec,audioExists,audioReadable,actualDurationSec,durationAbsErrorSec,peakSec,firstActiveSec,lastActiveSec,peakInsideExpectedWindow,firstActiveInsideExpectedWindow,activeRatioInsideWindow,activeRatioOutsideWindow,insideWindowFrameCount,outsideWindowFrameCount,alignmentDecision,alignmentReason
candidate_0000,procedural_v0_0001,artifacts/audio_candidates/week12_procedural_baseline_v0/0001_slot_v0_0001_generation_fallback.wav,seed_0001_case_48b11c,evt_001,ambience,contextual ambience bed,0.0,8.0,8.0,8.0,True,True,8.0,0.0,3.55,0.25,7.25,True,True,0.25,0.0,80,0,PASS,AMBIENCE_SPANS_EXPECTED_WINDOW
candidate_0001,procedural_v0_0002,artifacts/audio_candidates/week12_procedural_baseline_v0/0002_slot_v0_0002_generation_fallback.wav,seed_0001_case_48b11c,evt_002,foley,time-aligned footsteps,1.44,5.76,8.0,4.32,True,True,4.32,3.68,2.75,0.25,3.95,True,False,0.166667,0.142857,30,14,FAIL,ENERGY_NOT_ALIGNED_TO_EXPECTED_WINDOW
candidate_0002,procedural_v0_0003,artifacts/audio_candidates/week12_procedural_baseline_v0/0003_slot_v0_0003_generation_fallback.wav,seed_0002_case_adc34a,evt_001,ambience,contextual ambience bed,0.0,8.0,8.0,8.0,True,True,8.0,0.0,4.65,0.55,7.55,True,True,0.1875,0.0,80,0,PASS,AMBIENCE_SPANS_EXPECTED_WINDOW
candidate_0003,procedural_v0_0004,artifacts/audio_candidates/week12_procedural_baseline_v0/0004_slot_v0_0004_generation_fallback.wav,seed_0002_case_adc34a,evt_002,foley,door close impact,1.44,5.76,8.0,4.32,True,True,4.32,3.68,2.35,2.05,2.35,True,True,0.066667,0.0,30,14,FAIL,ENERGY_NOT_ALIGNED_TO_EXPECTED_WINDOW
candidate_0004,procedural_v0_0005,artifacts/audio_candidates/week12_procedural_baseline_v0/0005_slot_v0_0005_generation_fallback.wav,seed_0003_case_9eb26a,evt_001,ambience,contextual ambience bed,0.0,8.0,8.0,8.0,True,True,8.0,0.0,0.85,0.35,7.75,True,True,0.275,0.0,80,0,PASS,AMBIENCE_SPANS_EXPECTED_WINDOW
candidate_0005,procedural_v0_0006,artifacts/audio_candidates/week12_procedural_baseline_v0/0006_slot_v0_0006_generation_fallback.wav,seed_0003_case_9eb26a,evt_002,foley,raindrop impacts on window,1.44,5.76,8.0,4.32,True,True,4.32,3.68,3.85,0.15,4.15,True,False,0.433333,0.571429,30,14,FAIL,ENERGY_NOT_ALIGNED_TO_EXPECTED_WINDOW
candidate_0006,procedural_v0_0007,artifacts/audio_candidates/week12_procedural_baseline_v0/0007_slot_v0_0007_generation_fallback.wav,seed_0004_case_f9f0fb,evt_001,ambience,contextual ambience bed,0.0,8.0,8.0,8.0,True,True,8.0,0.0,3.55,0.35,7.45,True,True,0.3,0.0,80,0,PASS,AMBIENCE_SPANS_EXPECTED_WINDOW
candidate_0007,procedural_v0_0008,artifacts/audio_candidates/week12_procedural_baseline_v0/0008_slot_v0_0008_generation_fallback.wav,seed_0004_case_f9f0fb,evt_002,foley,keyboard typing taps,1.44,5.76,8.0,4.32,True,True,4.32,3.68,2.15,0.25,4.15,True,False,0.433333,0.428571,30,14,FAIL,ENERGY_NOT_ALIGNED_TO_EXPECTED_WINDOW
candidate_0008,procedural_v0_0009,artifacts/audio_candidates/week12_procedural_baseline_v0/0009_slot_v0_0009_generation_fallback.wav,seed_0005_case_06f366,evt_001,ambience,outdoor bike-pass ambience,0.0,8.0,8.0,8.0,True,True,8.0,0.0,2.85,1.15,7.45,True,True,0.2625,0.0,80,0,PASS,AMBIENCE_SPANS_EXPECTED_WINDOW
candidate_0009,procedural_v0_0010,artifacts/audio_candidates/week12_procedural_baseline_v0/0010_slot_v0_0010_generation_fallback.wav,seed_0005_case_06f366,evt_002,foley,bicycle pass-by motion cue,1.2,5.44,8.0,4.24,True,True,4.24,3.76,1.05,1.05,3.15,False,False,0.064516,0.083333,31,12,FAIL,ENERGY_NOT_ALIGNED_TO_EXPECTED_WINDOW
