candidateRowId,candidateId,audioUri,sceneId,caseId,eventId,eventIndex,layer,label,candidateDurationSec,timingBindingStatus,bindingMethod,bindingConfidence,expectedSceneId,expectedCaseId,expectedEventId,expectedEventIndex,expectedLayer,expectedLabel,expectedStartSec,expectedEndSec,expectedDurationSec
candidate_0000,procedural_v0_0001,artifacts/audio_candidates/week12_procedural_baseline_v0/0001_slot_v0_0001_generation_fallback.wav,seed_0001_case_48b11c,seed_0001_case_48b11c,evt_001,,ambience,contextual ambience bed,,BOUND,scene_event_id,HIGH,seed_0001_case_48b11c,seed_0001_case_48b11c,evt_001,,ambience,contextual ambience bed,0.0,8.0,8.0
candidate_0001,procedural_v0_0002,artifacts/audio_candidates/week12_procedural_baseline_v0/0002_slot_v0_0002_generation_fallback.wav,seed_0001_case_48b11c,seed_0001_case_48b11c,evt_002,,foley,time-aligned footsteps,,BOUND,scene_event_id,HIGH,seed_0001_case_48b11c,seed_0001_case_48b11c,evt_002,,foley,time-aligned footsteps,1.44,5.76,8.0
candidate_0002,procedural_v0_0003,artifacts/audio_candidates/week12_procedural_baseline_v0/0003_slot_v0_0003_generation_fallback.wav,seed_0002_case_adc34a,seed_0002_case_adc34a,evt_001,,ambience,contextual ambience bed,,BOUND,scene_event_id,HIGH,seed_0002_case_adc34a,seed_0002_case_adc34a,evt_001,,ambience,contextual ambience bed,0.0,8.0,8.0
candidate_0003,procedural_v0_0004,artifacts/audio_candidates/week12_procedural_baseline_v0/0004_slot_v0_0004_generation_fallback.wav,seed_0002_case_adc34a,seed_0002_case_adc34a,evt_002,,foley,door close impact,,BOUND,scene_event_id,HIGH,seed_0002_case_adc34a,seed_0002_case_adc34a,evt_002,,foley,door close impact,1.44,5.76,8.0
candidate_0004,procedural_v0_0005,artifacts/audio_candidates/week12_procedural_baseline_v0/0005_slot_v0_0005_generation_fallback.wav,seed_0003_case_9eb26a,seed_0003_case_9eb26a,evt_001,,ambience,contextual ambience bed,,BOUND,scene_event_id,HIGH,seed_0003_case_9eb26a,seed_0003_case_9eb26a,evt_001,,ambience,contextual ambience bed,0.0,8.0,8.0
candidate_0005,procedural_v0_0006,artifacts/audio_candidates/week12_procedural_baseline_v0/0006_slot_v0_0006_generation_fallback.wav,seed_0003_case_9eb26a,seed_0003_case_9eb26a,evt_002,,foley,raindrop impacts on window,,BOUND,scene_event_id,HIGH,seed_0003_case_9eb26a,seed_0003_case_9eb26a,evt_002,,foley,raindrop impacts on window,1.44,5.76,8.0
candidate_0006,procedural_v0_0007,artifacts/audio_candidates/week12_procedural_baseline_v0/0007_slot_v0_0007_generation_fallback.wav,seed_0004_case_f9f0fb,seed_0004_case_f9f0fb,evt_001,,ambience,contextual ambience bed,,BOUND,scene_event_id,HIGH,seed_0004_case_f9f0fb,seed_0004_case_f9f0fb,evt_001,,ambience,contextual ambience bed,0.0,8.0,8.0
candidate_0007,procedural_v0_0008,artifacts/audio_candidates/week12_procedural_baseline_v0/0008_slot_v0_0008_generation_fallback.wav,seed_0004_case_f9f0fb,seed_0004_case_f9f0fb,evt_002,,foley,keyboard typing taps,,BOUND,scene_event_id,HIGH,seed_0004_case_f9f0fb,seed_0004_case_f9f0fb,evt_002,,foley,keyboard typing taps,1.44,5.76,8.0
candidate_0008,procedural_v0_0009,artifacts/audio_candidates/week12_procedural_baseline_v0/0009_slot_v0_0009_generation_fallback.wav,seed_0005_case_06f366,seed_0005_case_06f366,evt_001,,ambience,outdoor bike-pass ambience,,BOUND,scene_event_id,HIGH,seed_0005_case_06f366,seed_0005_case_06f366,evt_001,,ambience,outdoor bike-pass ambience,0.0,8.0,8.0
candidate_0009,procedural_v0_0010,artifacts/audio_candidates/week12_procedural_baseline_v0/0010_slot_v0_0010_generation_fallback.wav,seed_0005_case_06f366,seed_0005_case_06f366,evt_002,,foley,bicycle pass-by motion cue,,BOUND,scene_event_id,HIGH,seed_0005_case_06f366,seed_0005_case_06f366,evt_002,,foley,bicycle pass-by motion cue,1.2,5.44,8.0
