candidate_id,case_id,variant,source,has_metrics,has_selector,has_pairwise,pairwise_case_count,is_selector_winner_proxy,is_repair_seed,has_reason_or_metric,missing_evidence,metric_case_id,metric_variant,metric_job_id,metric_selected_wav_path,metric_is_repaired_selected,metric_prompt_chars,metric_sample_rate,metric_channels,metric_sample_width_bytes,metric_duration_sec,metric_rms_dbfs,metric_peak_dbfs,metric_clipped_ratio,metric_active_ratio,metric_silence_ratio,metric_onset_count_proxy,metric_onset_times_sec_proxy,metric_status,metric_flags,selector_case_id,selector_variant,selector_selector_score,selector_acoustic_score,selector_decision,selector_reasons,selector_audio_path,selector_winner_variant,selector_runner_up_variant,selector_best_dss_variant,selector_best_baseline_variant,selector_dss_delta_vs_best_baseline,selector_case_classification
forest_bird_branch_001|dss_event_timeline,forest_bird_branch_001,dss_event_timeline,,true,,,3,false,false,true,"source,selector",forest_bird_branch_001,dss_event_timeline,w18_004_forest_bird_branch_001_dss_event_timeline,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_event_timeline/w18_004_forest_bird_branch_001_dss_event_timeline.wav,False,754,44100,1,2,7.9644,-24.873,0.0,5.69e-06,0.99679414,0.00320586,9,"[0.6, 1.34, 2.12, 2.92, 4.12, 5.12, 5.84, 6.58, 7.5]",ok,['near_full_scale_peak'],,,,,,,,,,,,,
forest_bird_branch_001|dss_event_timeline||artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_event_timeline/w18_004_forest_bird_branch_001_dss_event_timeline.wav,forest_bird_branch_001,dss_event_timeline,,,true,,3,false,false,true,"source,metrics",,,,,,,,,,,,,,,,,,,,forest_bird_branch_001,dss_event_timeline,93.9431,91.9431,listen_review,minor_clip:-0.0569|near_full_scale_peak:0.0|variant_prior:+2.0|downgrade_selector_candidate_due_to_near_full_scale_peak,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_event_timeline/w18_004_forest_bird_branch_001_dss_event_timeline.wav,naive_rich,naive,dss_layer_avoid,naive_rich,-6.5285,dss_worse
forest_bird_branch_001|dss_global,forest_bird_branch_001,dss_global,,true,,,3,false,false,true,"source,selector",forest_bird_branch_001,dss_global,w18_003_forest_bird_branch_001_dss_global,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_global/w18_003_forest_bird_branch_001_dss_global.wav,False,316,44100,1,2,7.9644,-15.6334,0.0,0.00056373,0.99648096,0.00351904,18,"[0.58, 1.26, 1.38, 2.02, 2.14, 2.92, 3.04, 3.84, 3.96, 4.08, 5.02, 5.16, 5.8, 5.92, 6.44, 6.62, 7.36, 7.48]",ok,['near_full_scale_peak'],,,,,,,,,,,,,
forest_bird_branch_001|dss_global||artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_global/w18_003_forest_bird_branch_001_dss_global.wav,forest_bird_branch_001,dss_global,,,true,,3,false,false,true,"source,metrics",,,,,,,,,,,,,,,,,,,,forest_bird_branch_001,dss_global,80.8627,80.3627,rejected,minor_clip:-5.6373|near_full_scale_peak:0.0|loud_rms:-15.6334|variant_prior:+0.5,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_global/w18_003_forest_bird_branch_001_dss_global.wav,naive_rich,naive,dss_layer_avoid,naive_rich,-6.5285,dss_worse
forest_bird_branch_001|dss_layer_avoid,forest_bird_branch_001,dss_layer_avoid,,true,,,3,false,false,true,"source,selector",forest_bird_branch_001,dss_layer_avoid,w18_005_forest_bird_branch_001_dss_layer_avoid,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_layer_avoid/w18_005_forest_bird_branch_001_dss_layer_avoid.wav,False,897,44100,1,2,7.9644,-24.0057,0.0,2.85e-06,0.99788459,0.00211541,26,"[0.42, 0.62, 1.2, 1.5, 1.72, 2.14, 2.58, 3.42, 3.64, 3.76, 3.9, 4.12, 4.24, 5.1, 5.22, 5.64, 5.84, 5.98, 6.38, 6.68, 6.88, 7.12, 7.24, 7.36, 7.48, 7.7]",ok,['near_full_scale_peak'],,,,,,,,,,,,,
forest_bird_branch_001|dss_layer_avoid||artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_layer_avoid/w18_005_forest_bird_branch_001_dss_layer_avoid.wav,forest_bird_branch_001,dss_layer_avoid,,,true,,3,false,false,true,"source,metrics",,,,,,,,,,,,,,,,,,,,forest_bird_branch_001,dss_layer_avoid,94.4715,91.9715,listen_review,minor_clip:-0.0285|near_full_scale_peak:0.0|variant_prior:+2.5|downgrade_selector_candidate_due_to_near_full_scale_peak,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_layer_avoid/w18_005_forest_bird_branch_001_dss_layer_avoid.wav,naive_rich,naive,dss_layer_avoid,naive_rich,-6.5285,dss_worse
forest_bird_branch_001|naive,forest_bird_branch_001,naive,,true,,,3,false,false,true,"source,selector",forest_bird_branch_001,naive,w18_001_forest_bird_branch_001_naive,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/naive/w18_001_forest_bird_branch_001_naive.wav,False,240,44100,1,2,7.9644,-34.2595,-14.8157,0.0,0.99500046,0.00499954,25,"[0.52, 1.2, 1.44, 1.7, 2.3, 2.44, 2.66, 2.8, 3.3, 3.64, 3.78, 3.9, 4.04, 4.24, 4.76, 4.96, 5.1, 5.66, 6.28, 6.4, 6.52, 6.74, 6.94, 7.12, 7.24]",ok,[],,,,,,,,,,,,,
forest_bird_branch_001|naive||artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/naive/w18_001_forest_bird_branch_001_naive.wav,forest_bird_branch_001,naive,,,true,,3,false,false,true,"source,metrics",,,,,,,,,,,,,,,,,,,,forest_bird_branch_001,naive,100.0,100.0,selector_candidate,,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/naive/w18_001_forest_bird_branch_001_naive.wav,naive_rich,naive,dss_layer_avoid,naive_rich,-6.5285,dss_worse
forest_bird_branch_001|naive_rich,forest_bird_branch_001,naive_rich,,true,,,3,false,false,true,"source,selector",forest_bird_branch_001,naive_rich,w18_002_forest_bird_branch_001_naive_rich,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/naive_rich/w18_002_forest_bird_branch_001_naive_rich.wav,False,528,44100,1,2,7.9644,-30.642,-13.4768,0.0,0.99664324,0.00335676,27,"[0.52, 1.12, 1.26, 1.44, 1.72, 1.98, 2.12, 2.32, 2.44, 2.8, 3.3, 3.64, 3.78, 3.9, 4.04, 4.24, 4.38, 4.5, 4.76, 4.96, 5.42, 5.68, 6.4, 6.52, 6.74, 6.94, 7.32]",ok,[],,,,,,,,,,,,,
forest_bird_branch_001|naive_rich||artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/naive_rich/w18_002_forest_bird_branch_001_naive_rich.wav,forest_bird_branch_001,naive_rich,,,true,,3,false,false,true,"source,metrics",,,,,,,,,,,,,,,,,,,,forest_bird_branch_001,naive_rich,101.0,100.0,selector_candidate,variant_prior:+1.0,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/naive_rich/w18_002_forest_bird_branch_001_naive_rich.wav,naive_rich,naive,dss_layer_avoid,naive_rich,-6.5285,dss_worse
