candidate_id,case_id,model_family,input_path,dss_path,expected_events_path,baseline_prompt_path,runtime_precondition,blocked_reason,semantic_evidence_level,output_dir
forest_bird_branch_001__mmaudio_text_video_sync_v1,forest_bird_branch_001,mmaudio_text_video_sync_v1,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/forest_bird_branch_001/input_video.mp4,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/forest_bird_branch_001/director_sound_script.yaml,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/forest_bird_branch_001/expected_events.csv,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/forest_bird_branch_001/baseline_prompt.txt,ready,,pipeline_only_not_real_scene,artifacts/model_runs/week17_mmaudio/forest_bird_branch_001
forest_bird_branch_001__control_rule_foley_v0,forest_bird_branch_001,control_rule_foley_v0,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/forest_bird_branch_001/director_sound_script.yaml,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/forest_bird_branch_001/director_sound_script.yaml,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/forest_bird_branch_001/expected_events.csv,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/forest_bird_branch_001/baseline_prompt.txt,ready,,dss_rule_baseline,/home/GRT/work/audio_engineering_repo_skeleton_v1/artifacts/model_runs/week17_control_baseline/forest_bird_branch_001
glass_drop_room_001__mmaudio_text_video_sync_v1,glass_drop_room_001,mmaudio_text_video_sync_v1,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/glass_drop_room_001/input_video.mp4,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/glass_drop_room_001/director_sound_script.yaml,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/glass_drop_room_001/expected_events.csv,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/glass_drop_room_001/baseline_prompt.txt,ready,,pipeline_only_not_real_scene,artifacts/model_runs/week17_mmaudio/glass_drop_room_001
glass_drop_room_001__control_rule_foley_v0,glass_drop_room_001,control_rule_foley_v0,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/glass_drop_room_001/director_sound_script.yaml,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/glass_drop_room_001/director_sound_script.yaml,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/glass_drop_room_001/expected_events.csv,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/glass_drop_room_001/baseline_prompt.txt,ready,,dss_rule_baseline,/home/GRT/work/audio_engineering_repo_skeleton_v1/artifacts/model_runs/week17_control_baseline/glass_drop_room_001
kitchen_chop_sizzle_001__mmaudio_text_video_sync_v1,kitchen_chop_sizzle_001,mmaudio_text_video_sync_v1,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/kitchen_chop_sizzle_001/input_video.mp4,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/kitchen_chop_sizzle_001/director_sound_script.yaml,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/kitchen_chop_sizzle_001/expected_events.csv,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/kitchen_chop_sizzle_001/baseline_prompt.txt,ready,,pipeline_only_not_real_scene,artifacts/model_runs/week17_mmaudio/kitchen_chop_sizzle_001
kitchen_chop_sizzle_001__control_rule_foley_v0,kitchen_chop_sizzle_001,control_rule_foley_v0,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/kitchen_chop_sizzle_001/director_sound_script.yaml,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/kitchen_chop_sizzle_001/director_sound_script.yaml,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/kitchen_chop_sizzle_001/expected_events.csv,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/kitchen_chop_sizzle_001/baseline_prompt.txt,ready,,dss_rule_baseline,/home/GRT/work/audio_engineering_repo_skeleton_v1/artifacts/model_runs/week17_control_baseline/kitchen_chop_sizzle_001
robot_warehouse_pick_001__mmaudio_text_video_sync_v1,robot_warehouse_pick_001,mmaudio_text_video_sync_v1,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/robot_warehouse_pick_001/input_video.mp4,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/robot_warehouse_pick_001/director_sound_script.yaml,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/robot_warehouse_pick_001/expected_events.csv,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/robot_warehouse_pick_001/baseline_prompt.txt,ready,,pipeline_only_not_real_scene,artifacts/model_runs/week17_mmaudio/robot_warehouse_pick_001
robot_warehouse_pick_001__control_rule_foley_v0,robot_warehouse_pick_001,control_rule_foley_v0,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/robot_warehouse_pick_001/director_sound_script.yaml,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/robot_warehouse_pick_001/director_sound_script.yaml,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/robot_warehouse_pick_001/expected_events.csv,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/robot_warehouse_pick_001/baseline_prompt.txt,ready,,dss_rule_baseline,/home/GRT/work/audio_engineering_repo_skeleton_v1/artifacts/model_runs/week17_control_baseline/robot_warehouse_pick_001
street_rain_crosswalk_001__mmaudio_text_video_sync_v1,street_rain_crosswalk_001,mmaudio_text_video_sync_v1,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/street_rain_crosswalk_001/input_video.mp4,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/street_rain_crosswalk_001/director_sound_script.yaml,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/street_rain_crosswalk_001/expected_events.csv,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/street_rain_crosswalk_001/baseline_prompt.txt,ready,,real_or_existing_video,artifacts/model_runs/week17_mmaudio/street_rain_crosswalk_001
street_rain_crosswalk_001__control_rule_foley_v0,street_rain_crosswalk_001,control_rule_foley_v0,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/street_rain_crosswalk_001/director_sound_script.yaml,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/street_rain_crosswalk_001/director_sound_script.yaml,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/street_rain_crosswalk_001/expected_events.csv,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/street_rain_crosswalk_001/baseline_prompt.txt,ready,,dss_rule_baseline,/home/GRT/work/audio_engineering_repo_skeleton_v1/artifacts/model_runs/week17_control_baseline/street_rain_crosswalk_001
subway_arrival_door_001__mmaudio_text_video_sync_v1,subway_arrival_door_001,mmaudio_text_video_sync_v1,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/subway_arrival_door_001/input_video.mp4,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/subway_arrival_door_001/director_sound_script.yaml,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/subway_arrival_door_001/expected_events.csv,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/subway_arrival_door_001/baseline_prompt.txt,ready,,pipeline_only_not_real_scene,artifacts/model_runs/week17_mmaudio/subway_arrival_door_001
subway_arrival_door_001__control_rule_foley_v0,subway_arrival_door_001,control_rule_foley_v0,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/subway_arrival_door_001/director_sound_script.yaml,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/subway_arrival_door_001/director_sound_script.yaml,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/subway_arrival_door_001/expected_events.csv,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/subway_arrival_door_001/baseline_prompt.txt,ready,,dss_rule_baseline,/home/GRT/work/audio_engineering_repo_skeleton_v1/artifacts/model_runs/week17_control_baseline/subway_arrival_door_001
