candidateId,sourceRequestId,caseId,sceneId,eventId,eventLabel,layer,candidateUri,expectedStartSec,expectedEndSec,expectedDurationSec,durationSec,durationDeltaSec,durationMatchesExpected,sampleRateHz,channels,sampleWidthBytes,rmsDbfs,peakDbfs,formatOk,reviewStatus,humanAuditionRequired,semanticFidelityClaimed,mixReadyClaimed,timingBindingStatus,timingBindingMethod,failureTags,reviewNote
procedural_v0_0001,car_v1_0001_seed_0001_case_48b11c_evt_001,seed_0001_case_48b11c,seed_0001_case_48b11c,evt_001,contextual ambience bed,ambience,artifacts/audio_candidates/week12_procedural_baseline_v0/0001_slot_v0_0001_generation_fallback.wav,,,,8.0,,,16000,1,2,-36.419,-26.684,True,HUMAN_AUDITION_REQUIRED,True,False,False,UNMATCHED,unmatched,human_audition_required|semantic_unverified|expected_timing_unverified|duration_unverified,No expected timing window could be matched. Candidate remains timing-unverified and requires follow-up.
procedural_v0_0002,car_v1_0002_seed_0001_case_48b11c_evt_002,seed_0001_case_48b11c,seed_0001_case_48b11c,evt_002,time-aligned footsteps,foley,artifacts/audio_candidates/week12_procedural_baseline_v0/0002_slot_v0_0002_generation_fallback.wav,,,,4.32,,,16000,1,2,-41.214,-15.546,True,HUMAN_AUDITION_REQUIRED,True,False,False,UNMATCHED,unmatched,human_audition_required|semantic_unverified|expected_timing_unverified|duration_unverified,No expected timing window could be matched. Candidate remains timing-unverified and requires follow-up.
procedural_v0_0003,car_v1_0003_seed_0002_case_adc34a_evt_001,seed_0002_case_adc34a,seed_0002_case_adc34a,evt_001,contextual ambience bed,ambience,artifacts/audio_candidates/week12_procedural_baseline_v0/0003_slot_v0_0003_generation_fallback.wav,,,,8.0,,,16000,1,2,-43.421,-33.659,True,HUMAN_AUDITION_REQUIRED,True,False,False,UNMATCHED,unmatched,human_audition_required|semantic_unverified|expected_timing_unverified|duration_unverified,No expected timing window could be matched. Candidate remains timing-unverified and requires follow-up.
procedural_v0_0004,car_v1_0004_seed_0002_case_adc34a_evt_002,seed_0002_case_adc34a,seed_0002_case_adc34a,evt_002,door close impact,foley,artifacts/audio_candidates/week12_procedural_baseline_v0/0004_slot_v0_0004_generation_fallback.wav,,,,4.32,,,16000,1,2,-44.099,-15.477,True,HUMAN_AUDITION_REQUIRED,True,False,False,UNMATCHED,unmatched,human_audition_required|semantic_unverified|expected_timing_unverified|duration_unverified,No expected timing window could be matched. Candidate remains timing-unverified and requires follow-up.
procedural_v0_0005,car_v1_0005_seed_0003_case_9eb26a_evt_001,seed_0003_case_9eb26a,seed_0003_case_9eb26a,evt_001,contextual ambience bed,ambience,artifacts/audio_candidates/week12_procedural_baseline_v0/0005_slot_v0_0005_generation_fallback.wav,,,,8.0,,,16000,1,2,-43.419,-26.363,True,HUMAN_AUDITION_REQUIRED,True,False,False,UNMATCHED,unmatched,human_audition_required|semantic_unverified|expected_timing_unverified|duration_unverified,No expected timing window could be matched. Candidate remains timing-unverified and requires follow-up.
procedural_v0_0006,car_v1_0006_seed_0003_case_9eb26a_evt_002,seed_0003_case_9eb26a,seed_0003_case_9eb26a,evt_002,raindrop impacts on window,foley,artifacts/audio_candidates/week12_procedural_baseline_v0/0006_slot_v0_0006_generation_fallback.wav,,,,4.32,,,16000,1,2,-36.527,-12.305,True,HUMAN_AUDITION_REQUIRED,True,False,False,UNMATCHED,unmatched,human_audition_required|semantic_unverified|expected_timing_unverified|duration_unverified,No expected timing window could be matched. Candidate remains timing-unverified and requires follow-up.
procedural_v0_0007,car_v1_0007_seed_0004_case_f9f0fb_evt_001,seed_0004_case_f9f0fb,seed_0004_case_f9f0fb,evt_001,contextual ambience bed,ambience,artifacts/audio_candidates/week12_procedural_baseline_v0/0007_slot_v0_0007_generation_fallback.wav,,,,8.0,,,16000,1,2,-43.326,-34.118,True,HUMAN_AUDITION_REQUIRED,True,False,False,UNMATCHED,unmatched,human_audition_required|semantic_unverified|expected_timing_unverified|duration_unverified,No expected timing window could be matched. Candidate remains timing-unverified and requires follow-up.
procedural_v0_0008,car_v1_0008_seed_0004_case_f9f0fb_evt_002,seed_0004_case_f9f0fb,seed_0004_case_f9f0fb,evt_002,keyboard typing taps,foley,artifacts/audio_candidates/week12_procedural_baseline_v0/0008_slot_v0_0008_generation_fallback.wav,,,,4.32,,,16000,1,2,-35.729,-15.283,True,HUMAN_AUDITION_REQUIRED,True,False,False,UNMATCHED,unmatched,human_audition_required|semantic_unverified|expected_timing_unverified|duration_unverified,No expected timing window could be matched. Candidate remains timing-unverified and requires follow-up.
procedural_v0_0009,car_v1_0009_seed_0005_case_06f366_evt_001,seed_0005_case_06f366,seed_0005_case_06f366,evt_001,outdoor bike-pass ambience,ambience,artifacts/audio_candidates/week12_procedural_baseline_v0/0009_slot_v0_0009_generation_fallback.wav,,,,8.0,,,16000,1,2,-36.376,-26.822,True,HUMAN_AUDITION_REQUIRED,True,False,False,UNMATCHED,unmatched,human_audition_required|semantic_unverified|expected_timing_unverified|duration_unverified,No expected timing window could be matched. Candidate remains timing-unverified and requires follow-up.
procedural_v0_0010,car_v1_0010_seed_0005_case_06f366_evt_002,seed_0005_case_06f366,seed_0005_case_06f366,evt_002,bicycle pass-by motion cue,foley,artifacts/audio_candidates/week12_procedural_baseline_v0/0010_slot_v0_0010_generation_fallback.wav,,,,4.24,,,16000,1,2,-44.779,-15.533,True,HUMAN_AUDITION_REQUIRED,True,False,False,UNMATCHED,unmatched,human_audition_required|semantic_unverified|expected_timing_unverified|duration_unverified,No expected timing window could be matched. Candidate remains timing-unverified and requires follow-up.
