seed_id,failure_id,failure_type,proposed_repair_action,source_audio,copied_source_audio,before_metrics,priority,case_id,candidate,variant,artifact_exists,micro_probe_available
w19_001,fb_001,clipping,clipping_attenuation,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_global/w18_003_forest_bird_branch_001_dss_global.wav,artifacts/failures/w19_repair_seed_20260710/fb_001__w18_003_forest_bird_branch_001_dss_global.wav,"{""duration_sec"": ""7.9644"", ""onset_proxy_count"": ""45"", ""peak_abs"": ""1.0"", ""rms_mean"": ""0.098846""}",5,forest_bird_branch_001,forest_bird_branch_001|dss_global,dss_global,true,true
w19_002,fb_002,clipping,clipping_attenuation,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/dss_global/w18_018_robot_warehouse_pick_001_dss_global.wav,artifacts/failures/w19_repair_seed_20260710/fb_002__w18_018_robot_warehouse_pick_001_dss_global.wav,"{""duration_sec"": ""10.0078"", ""onset_proxy_count"": ""98"", ""peak_abs"": ""0.996094"", ""rms_mean"": ""0.170094""}",5,robot_warehouse_pick_001,robot_warehouse_pick_001|dss_global,dss_global,true,false
w19_003,fb_003,layer_conflict_or_repairable,layer_priority_remix,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/dss_event_timeline/w18_019_robot_warehouse_pick_001_dss_event_timeline.wav,artifacts/failures/w19_repair_seed_20260710/fb_003__w18_019_robot_warehouse_pick_001_dss_event_timeline.wav,"{""duration_sec"": ""10.0078"", ""onset_proxy_count"": ""100"", ""peak_abs"": ""0.441406"", ""rms_mean"": ""0.063511""}",2,robot_warehouse_pick_001,robot_warehouse_pick_001|dss_event_timeline,dss_event_timeline,true,true
w19_004,fb_004,naive_less_controllable,replace_with_dss_variant,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/naive/w18_016_robot_warehouse_pick_001_naive.wav,artifacts/failures/w19_repair_seed_20260710/fb_004__w18_016_robot_warehouse_pick_001_naive.wav,"{""duration_sec"": ""10.0078"", ""onset_proxy_count"": ""31"", ""peak_abs"": ""0.964844"", ""rms_mean"": ""0.099395""}",3,robot_warehouse_pick_001,robot_warehouse_pick_001|naive,naive,true,true
w19_005,fb_005,naive_less_controllable,replace_with_dss_variant,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/naive/w18_026_subway_arrival_door_001_naive.wav,artifacts/failures/w19_repair_seed_20260710/fb_005__w18_026_subway_arrival_door_001_naive.wav,"{""duration_sec"": ""10.0078"", ""onset_proxy_count"": ""59"", ""peak_abs"": ""0.566406"", ""rms_mean"": ""0.063222""}",2,subway_arrival_door_001,subway_arrival_door_001|naive,naive,true,false
w19_006,fb_006,clipping,clipping_attenuation,artifacts/model_runs/w18_dss_ablation/kitchen_chop_sizzle_001/naive_rich/w18_012_kitchen_chop_sizzle_001_naive_rich.wav,artifacts/failures/w19_repair_seed_20260710/fb_006__w18_012_kitchen_chop_sizzle_001_naive_rich.wav,"{""duration_sec"": ""9.9614"", ""onset_proxy_count"": ""16"", ""peak_abs"": ""0.999969"", ""rms_mean"": ""0.023694""}",4,kitchen_chop_sizzle_001,kitchen_chop_sizzle_001|naive_rich,naive_rich,true,false
w19_007,fb_007,clipping,clipping_attenuation,artifacts/model_runs/w18_dss_ablation/kitchen_chop_sizzle_001/naive/w18_011_kitchen_chop_sizzle_001_naive.wav,artifacts/failures/w19_repair_seed_20260710/fb_007__w18_011_kitchen_chop_sizzle_001_naive.wav,"{""duration_sec"": ""9.9614"", ""onset_proxy_count"": ""24"", ""peak_abs"": ""1.0"", ""rms_mean"": ""0.061617""}",5,kitchen_chop_sizzle_001,kitchen_chop_sizzle_001|naive,naive,true,false
w19_008,fb_008,clipping,clipping_attenuation,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/dss_global/w18_023_street_rain_crosswalk_001_dss_global.wav,artifacts/failures/w19_repair_seed_20260710/fb_008__w18_023_street_rain_crosswalk_001_dss_global.wav,"{""duration_sec"": ""8.9397"", ""onset_proxy_count"": ""78"", ""peak_abs"": ""1.0"", ""rms_mean"": ""0.299593""}",4,street_rain_crosswalk_001,street_rain_crosswalk_001|dss_global,dss_global,true,false
w19_009,fb_009,clipping,clipping_attenuation,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/naive/w18_006_glass_drop_room_001_naive.wav,artifacts/failures/w19_repair_seed_20260710/fb_009__w18_006_glass_drop_room_001_naive.wav,"{""duration_sec"": ""6.966"", ""onset_proxy_count"": ""5"", ""peak_abs"": ""0.999969"", ""rms_mean"": ""0.018215""}",5,glass_drop_room_001,glass_drop_room_001|naive,naive,true,false
w19_010,fb_010,clipping,clipping_attenuation,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/dss_global/w18_008_glass_drop_room_001_dss_global.wav,artifacts/failures/w19_repair_seed_20260710/fb_010__w18_008_glass_drop_room_001_dss_global.wav,"{""duration_sec"": ""6.966"", ""onset_proxy_count"": ""6"", ""peak_abs"": ""0.992188"", ""rms_mean"": ""0.015949""}",3,glass_drop_room_001,glass_drop_room_001|dss_global,dss_global,true,true
w19_011,fb_011,silence,silence_trim_or_gain,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/naive_rich/w18_007_glass_drop_room_001_naive_rich.wav,artifacts/failures/w19_repair_seed_20260710/fb_011__w18_007_glass_drop_room_001_naive_rich.wav,"{""duration_sec"": ""6.966"", ""onset_proxy_count"": ""69"", ""peak_abs"": ""0.071289"", ""rms_mean"": ""0.013837""}",4,glass_drop_room_001,glass_drop_room_001|naive_rich,naive_rich,true,true
w19_012,fb_012,clipping,clipping_attenuation,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_event_timeline/w18_004_forest_bird_branch_001_dss_event_timeline.wav,artifacts/failures/w19_repair_seed_20260710/fb_012__w18_004_forest_bird_branch_001_dss_event_timeline.wav,"{""duration_sec"": ""7.9644"", ""onset_proxy_count"": ""12"", ""peak_abs"": ""1.0"", ""rms_mean"": ""0.041272""}",4,forest_bird_branch_001,forest_bird_branch_001|dss_event_timeline,dss_event_timeline,true,true
