job_id,case_id,variant,video_path,prompt,prompt_chars,event_count,avoid_count,duration_sec,primary_source,fallback_source,route,video_conditioned_primary,fallback_allowed,claim_boundary,expected_output_wav,expected_metrics_json,expected_failure_json,ready_for_generation,qa_flags
w18_001_forest_bird_branch_001_naive,forest_bird_branch_001,naive,cases/forest_bird_branch_001/input_video.mp4,"Create realistic sound effects for this short video. Scene: forest close-up with a bird moving on a branch. Use natural ambience and match visible actions. Avoid human speech, heavy wind, music bed, urban traffic, speech, lyrics, voiceover.",240,4,7,10.0,MMAudio,StableAudioOpen_or_T2A,video_to_audio_primary_with_text_fallback,True,True,MMAudio output can be claimed as V2A only if WAV is actually generated from video input; T2A fallback is not video-synchronized evidence.,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/naive/w18_001_forest_bird_branch_001_naive.wav,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/naive/w18_001_forest_bird_branch_001_naive.metrics.json,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/naive/w18_001_forest_bird_branch_001_naive.failure.json,True,
w18_002_forest_bird_branch_001_naive_rich,forest_bird_branch_001,naive_rich,cases/forest_bird_branch_001/input_video.mp4,"Create realistic sound effects for this short video. Scene: forest close-up with a bird moving on a branch. The visible actions include: around 0.00s, forest forest_wind with soft wind through leaves; around 0.00s, bird bird_chirp with two short bird chirps; around 0.00s, leaf leaf_rustle with small animal or bird rustling leaves; around 0.00s, branch branch_crack with dry branch crack. Make the sounds natural, synchronized, and cinematic. Avoid human speech, heavy wind, music bed, urban traffic, speech, lyrics, voiceover.",528,4,7,10.0,MMAudio,StableAudioOpen_or_T2A,video_to_audio_primary_with_text_fallback,True,True,MMAudio output can be claimed as V2A only if WAV is actually generated from video input; T2A fallback is not video-synchronized evidence.,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/naive_rich/w18_002_forest_bird_branch_001_naive_rich.wav,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/naive_rich/w18_002_forest_bird_branch_001_naive_rich.metrics.json,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/naive_rich/w18_002_forest_bird_branch_001_naive_rich.failure.json,True,
w18_003_forest_bird_branch_001_dss_global,forest_bird_branch_001,dss_global,cases/forest_bird_branch_001/input_video.mp4,"Generate synchronized audio for a 10.0s video. Global scene: forest close-up with a bird moving on a branch. Overall style: realistic Foley, no speech, no background music. Keep ambience stable, keep foley clear, avoid forbidden content: human speech, heavy wind, music bed, urban traffic, speech, lyrics, voiceover.",316,4,7,10.0,MMAudio,StableAudioOpen_or_T2A,dss_prompt_to_video_to_audio_primary_with_text_fallback,True,True,DSS prompt controls generation input; only true video-conditioned model output can be claimed as V2A.,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_global/w18_003_forest_bird_branch_001_dss_global.wav,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_global/w18_003_forest_bird_branch_001_dss_global.metrics.json,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_global/w18_003_forest_bird_branch_001_dss_global.failure.json,True,
w18_004_forest_bird_branch_001_dss_event_timeline,forest_bird_branch_001,dss_event_timeline,cases/forest_bird_branch_001/input_video.mp4,"Generate audio for a 10.0s video using this event timeline. Scene: forest close-up with a bird moving on a branch. Event timeline: 0.00s: object=forest; action=forest_wind; sound=soft wind through leaves; layer=foley; priority=2; tolerance=500ms | 0.00s: object=bird; action=bird_chirp; sound=two short bird chirps; layer=foley; priority=3; tolerance=150ms | 0.00s: object=leaf; action=leaf_rustle; sound=small animal or bird rustling leaves; layer=foley; priority=4; tolerance=180ms | 0.00s: object=branch; action=branch_crack; sound=dry branch crack; layer=foley; priority=5; tolerance=100ms. Preserve temporal order. Align transient sounds to event timestamps. Do not add: human speech, heavy wind, music bed, urban traffic, speech, lyrics, voiceover.",754,4,7,10.0,MMAudio,StableAudioOpen_or_T2A,dss_prompt_to_video_to_audio_primary_with_text_fallback,True,True,DSS prompt controls generation input; only true video-conditioned model output can be claimed as V2A.,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_event_timeline/w18_004_forest_bird_branch_001_dss_event_timeline.wav,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_event_timeline/w18_004_forest_bird_branch_001_dss_event_timeline.metrics.json,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_event_timeline/w18_004_forest_bird_branch_001_dss_event_timeline.failure.json,True,
w18_005_forest_bird_branch_001_dss_layer_avoid,forest_bird_branch_001,dss_layer_avoid,cases/forest_bird_branch_001/input_video.mp4,"Generate layered video-synchronized audio. Scene layer: forest close-up with a bird moving on a branch. Foley layer must emphasize these events: 0.00s: object=forest; action=forest_wind; sound=soft wind through leaves; layer=foley; priority=2; tolerance=500ms | 0.00s: object=bird; action=bird_chirp; sound=two short bird chirps; layer=foley; priority=3; tolerance=150ms | 0.00s: object=leaf; action=leaf_rustle; sound=small animal or bird rustling leaves; layer=foley; priority=4; tolerance=180ms | 0.00s: object=branch; action=branch_crack; sound=dry branch crack; layer=foley; priority=5; tolerance=100ms. Ambience layer should remain low, continuous, and non-dominant. Music layer should be absent unless explicitly required. Forbidden content: human speech, heavy wind, music bed, urban traffic, speech, lyrics, voiceover. No speech, no lyrics, no unrelated background music.",880,4,7,10.0,MMAudio,StableAudioOpen_or_T2A,dss_prompt_to_video_to_audio_primary_with_text_fallback,True,True,DSS prompt controls generation input; only true video-conditioned model output can be claimed as V2A.,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_layer_avoid/w18_005_forest_bird_branch_001_dss_layer_avoid.wav,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_layer_avoid/w18_005_forest_bird_branch_001_dss_layer_avoid.metrics.json,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_layer_avoid/w18_005_forest_bird_branch_001_dss_layer_avoid.failure.json,True,
w18_006_glass_drop_room_001_naive,glass_drop_room_001,naive,cases/glass_drop_room_001/input_video.mp4,"Create realistic sound effects for this short video. Scene: quiet indoor room, a glass object drops and breaks on a hard floor. Use natural ambience and match visible actions. Avoid speech, music, cartoon boing, long reverb tail, lyrics, voiceover.",248,4,6,10.0,MMAudio,StableAudioOpen_or_T2A,video_to_audio_primary_with_text_fallback,True,True,MMAudio output can be claimed as V2A only if WAV is actually generated from video input; T2A fallback is not video-synchronized evidence.,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/naive/w18_006_glass_drop_room_001_naive.wav,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/naive/w18_006_glass_drop_room_001_naive.metrics.json,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/naive/w18_006_glass_drop_room_001_naive.failure.json,True,
w18_007_glass_drop_room_001_naive_rich,glass_drop_room_001,naive_rich,cases/glass_drop_room_001/input_video.mp4,"Create realistic sound effects for this short video. Scene: quiet indoor room, a glass object drops and breaks on a hard floor. The visible actions include: around 0.00s, quiet quiet_room_tone with quiet indoor room tone; around 0.00s, glass glass_slip with glass sliding off table edge; around 0.00s, impact impact with sharp glass impact on hard floor; around 0.00s, shatter shatter_tail with small glass fragments scattering. Make the sounds natural, synchronized, and cinematic. Avoid speech, music, cartoon boing, long reverb tail, lyrics, voiceover.",555,4,6,10.0,MMAudio,StableAudioOpen_or_T2A,video_to_audio_primary_with_text_fallback,True,True,MMAudio output can be claimed as V2A only if WAV is actually generated from video input; T2A fallback is not video-synchronized evidence.,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/naive_rich/w18_007_glass_drop_room_001_naive_rich.wav,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/naive_rich/w18_007_glass_drop_room_001_naive_rich.metrics.json,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/naive_rich/w18_007_glass_drop_room_001_naive_rich.failure.json,True,
w18_008_glass_drop_room_001_dss_global,glass_drop_room_001,dss_global,cases/glass_drop_room_001/input_video.mp4,"Generate synchronized audio for a 10.0s video. Global scene: quiet indoor room, a glass object drops and breaks on a hard floor. Overall style: realistic Foley, no speech, no background music. Keep ambience stable, keep foley clear, avoid forbidden content: speech, music, cartoon boing, long reverb tail, lyrics, voiceover.",324,4,6,10.0,MMAudio,StableAudioOpen_or_T2A,dss_prompt_to_video_to_audio_primary_with_text_fallback,True,True,DSS prompt controls generation input; only true video-conditioned model output can be claimed as V2A.,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/dss_global/w18_008_glass_drop_room_001_dss_global.wav,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/dss_global/w18_008_glass_drop_room_001_dss_global.metrics.json,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/dss_global/w18_008_glass_drop_room_001_dss_global.failure.json,True,
w18_009_glass_drop_room_001_dss_event_timeline,glass_drop_room_001,dss_event_timeline,cases/glass_drop_room_001/input_video.mp4,"Generate audio for a 10.0s video using this event timeline. Scene: quiet indoor room, a glass object drops and breaks on a hard floor. Event timeline: 0.00s: object=quiet; action=quiet_room_tone; sound=quiet indoor room tone; layer=foley; priority=1; tolerance=500ms | 0.00s: object=glass; action=glass_slip; sound=glass sliding off table edge; layer=foley; priority=4; tolerance=120ms | 0.00s: object=impact; action=impact; sound=sharp glass impact on hard floor; layer=foley; priority=5; tolerance=70ms | 0.00s: object=shatter; action=shatter_tail; sound=small glass fragments scattering; layer=foley; priority=5; tolerance=100ms. Preserve temporal order. Align transient sounds to event timestamps. Do not add: speech, music, cartoon boing, long reverb tail, lyrics, voiceover.",780,4,6,10.0,MMAudio,StableAudioOpen_or_T2A,dss_prompt_to_video_to_audio_primary_with_text_fallback,True,True,DSS prompt controls generation input; only true video-conditioned model output can be claimed as V2A.,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/dss_event_timeline/w18_009_glass_drop_room_001_dss_event_timeline.wav,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/dss_event_timeline/w18_009_glass_drop_room_001_dss_event_timeline.metrics.json,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/dss_event_timeline/w18_009_glass_drop_room_001_dss_event_timeline.failure.json,True,
w18_010_glass_drop_room_001_dss_layer_avoid,glass_drop_room_001,dss_layer_avoid,cases/glass_drop_room_001/input_video.mp4,"Generate layered video-synchronized audio. Scene layer: quiet indoor room, a glass object drops and breaks on a hard floor. Foley layer must emphasize these events: 0.00s: object=quiet; action=quiet_room_tone; sound=quiet indoor room tone; layer=foley; priority=1; tolerance=500ms | 0.00s: object=glass; action=glass_slip; sound=glass sliding off table edge; layer=foley; priority=4; tolerance=120ms | 0.00s: object=impact; action=impact; sound=sharp glass impact on hard floor; layer=foley; priority=5; tolerance=70ms | 0.00s: object=shatter; action=shatter_tail; sound=small glass fragments scattering; layer=foley; priority=5; tolerance=100ms. Ambience layer should remain low, continuous, and non-dominant. Music layer should be absent unless explicitly required. Forbidden content: speech, music, cartoon boing, long reverb tail, lyrics, voiceover. No speech, no lyrics, no unrelated background music.",906,4,6,10.0,MMAudio,StableAudioOpen_or_T2A,dss_prompt_to_video_to_audio_primary_with_text_fallback,True,True,DSS prompt controls generation input; only true video-conditioned model output can be claimed as V2A.,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/dss_layer_avoid/w18_010_glass_drop_room_001_dss_layer_avoid.wav,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/dss_layer_avoid/w18_010_glass_drop_room_001_dss_layer_avoid.metrics.json,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/dss_layer_avoid/w18_010_glass_drop_room_001_dss_layer_avoid.failure.json,True,
