case_id,variant,duration_sec,event_count,avoid_count,prompt_chars,ready_for_generation,validation_errors,prompt
forest_bird_branch_001,naive,10.0,4,7,240,True,,"Create realistic sound effects for this short video. Scene: forest close-up with a bird moving on a branch. Use natural ambience and match visible actions. Avoid human speech, heavy wind, music bed, urban traffic, speech, lyrics, voiceover."
forest_bird_branch_001,naive_rich,10.0,4,7,528,True,,"Create realistic sound effects for this short video. Scene: forest close-up with a bird moving on a branch. The visible actions include: around 0.00s, forest forest_wind with soft wind through leaves; around 0.00s, bird bird_chirp with two short bird chirps; around 0.00s, leaf leaf_rustle with small animal or bird rustling leaves; around 0.00s, branch branch_crack with dry branch crack. Make the sounds natural, synchronized, and cinematic. Avoid human speech, heavy wind, music bed, urban traffic, speech, lyrics, voiceover."
forest_bird_branch_001,dss_global,10.0,4,7,316,True,,"Generate synchronized audio for a 10.0s video. Global scene: forest close-up with a bird moving on a branch. Overall style: realistic Foley, no speech, no background music. Keep ambience stable, keep foley clear, avoid forbidden content: human speech, heavy wind, music bed, urban traffic, speech, lyrics, voiceover."
forest_bird_branch_001,dss_event_timeline,10.0,4,7,754,True,,"Generate audio for a 10.0s video using this event timeline. Scene: forest close-up with a bird moving on a branch. Event timeline: 0.00s: object=forest; action=forest_wind; sound=soft wind through leaves; layer=foley; priority=2; tolerance=500ms | 0.00s: object=bird; action=bird_chirp; sound=two short bird chirps; layer=foley; priority=3; tolerance=150ms | 0.00s: object=leaf; action=leaf_rustle; sound=small animal or bird rustling leaves; layer=foley; priority=4; tolerance=180ms | 0.00s: object=branch; action=branch_crack; sound=dry branch crack; layer=foley; priority=5; tolerance=100ms. Preserve temporal order. Align transient sounds to event timestamps. Do not add: human speech, heavy wind, music bed, urban traffic, speech, lyrics, voiceover."
forest_bird_branch_001,dss_layer_avoid,10.0,4,7,880,True,,"Generate layered video-synchronized audio. Scene layer: forest close-up with a bird moving on a branch. Foley layer must emphasize these events: 0.00s: object=forest; action=forest_wind; sound=soft wind through leaves; layer=foley; priority=2; tolerance=500ms | 0.00s: object=bird; action=bird_chirp; sound=two short bird chirps; layer=foley; priority=3; tolerance=150ms | 0.00s: object=leaf; action=leaf_rustle; sound=small animal or bird rustling leaves; layer=foley; priority=4; tolerance=180ms | 0.00s: object=branch; action=branch_crack; sound=dry branch crack; layer=foley; priority=5; tolerance=100ms. Ambience layer should remain low, continuous, and non-dominant. Music layer should be absent unless explicitly required. Forbidden content: human speech, heavy wind, music bed, urban traffic, speech, lyrics, voiceover. No speech, no lyrics, no unrelated background music."
glass_drop_room_001,naive,10.0,4,6,248,True,,"Create realistic sound effects for this short video. Scene: quiet indoor room, a glass object drops and breaks on a hard floor. Use natural ambience and match visible actions. Avoid speech, music, cartoon boing, long reverb tail, lyrics, voiceover."
glass_drop_room_001,naive_rich,10.0,4,6,555,True,,"Create realistic sound effects for this short video. Scene: quiet indoor room, a glass object drops and breaks on a hard floor. The visible actions include: around 0.00s, quiet quiet_room_tone with quiet indoor room tone; around 0.00s, glass glass_slip with glass sliding off table edge; around 0.00s, impact impact with sharp glass impact on hard floor; around 0.00s, shatter shatter_tail with small glass fragments scattering. Make the sounds natural, synchronized, and cinematic. Avoid speech, music, cartoon boing, long reverb tail, lyrics, voiceover."
glass_drop_room_001,dss_global,10.0,4,6,324,True,,"Generate synchronized audio for a 10.0s video. Global scene: quiet indoor room, a glass object drops and breaks on a hard floor. Overall style: realistic Foley, no speech, no background music. Keep ambience stable, keep foley clear, avoid forbidden content: speech, music, cartoon boing, long reverb tail, lyrics, voiceover."
glass_drop_room_001,dss_event_timeline,10.0,4,6,780,True,,"Generate audio for a 10.0s video using this event timeline. Scene: quiet indoor room, a glass object drops and breaks on a hard floor. Event timeline: 0.00s: object=quiet; action=quiet_room_tone; sound=quiet indoor room tone; layer=foley; priority=1; tolerance=500ms | 0.00s: object=glass; action=glass_slip; sound=glass sliding off table edge; layer=foley; priority=4; tolerance=120ms | 0.00s: object=impact; action=impact; sound=sharp glass impact on hard floor; layer=foley; priority=5; tolerance=70ms | 0.00s: object=shatter; action=shatter_tail; sound=small glass fragments scattering; layer=foley; priority=5; tolerance=100ms. Preserve temporal order. Align transient sounds to event timestamps. Do not add: speech, music, cartoon boing, long reverb tail, lyrics, voiceover."
glass_drop_room_001,dss_layer_avoid,10.0,4,6,906,True,,"Generate layered video-synchronized audio. Scene layer: quiet indoor room, a glass object drops and breaks on a hard floor. Foley layer must emphasize these events: 0.00s: object=quiet; action=quiet_room_tone; sound=quiet indoor room tone; layer=foley; priority=1; tolerance=500ms | 0.00s: object=glass; action=glass_slip; sound=glass sliding off table edge; layer=foley; priority=4; tolerance=120ms | 0.00s: object=impact; action=impact; sound=sharp glass impact on hard floor; layer=foley; priority=5; tolerance=70ms | 0.00s: object=shatter; action=shatter_tail; sound=small glass fragments scattering; layer=foley; priority=5; tolerance=100ms. Ambience layer should remain low, continuous, and non-dominant. Music layer should be absent unless explicitly required. Forbidden content: speech, music, cartoon boing, long reverb tail, lyrics, voiceover. No speech, no lyrics, no unrelated background music."
kitchen_chop_sizzle_001,naive,10.0,4,6,227,True,,"Create realistic sound effects for this short video. Scene: kitchen preparation with chopping and pan sizzle. Use natural ambience and match visible actions. Avoid speech, restaurant crowd, music, alarm beep, lyrics, voiceover."
kitchen_chop_sizzle_001,naive_rich,10.0,4,6,552,True,,"Create realistic sound effects for this short video. Scene: kitchen preparation with chopping and pan sizzle. The visible actions include: around 0.00s, room room_tone with small indoor kitchen room tone; around 0.00s, knife knife_chops with rhythmic vegetable chopping on wooden board; around 0.00s, pan pan_sizzle_rise with oil and food sizzling in pan; around 0.00s, plate plate_set_down with ceramic plate placed on counter. Make the sounds natural, synchronized, and cinematic. Avoid speech, restaurant crowd, music, alarm beep, lyrics, voiceover."
kitchen_chop_sizzle_001,dss_global,10.0,4,6,303,True,,"Generate synchronized audio for a 10.0s video. Global scene: kitchen preparation with chopping and pan sizzle. Overall style: realistic Foley, no speech, no background music. Keep ambience stable, keep foley clear, avoid forbidden content: speech, restaurant crowd, music, alarm beep, lyrics, voiceover."
kitchen_chop_sizzle_001,dss_event_timeline,10.0,4,6,778,True,,"Generate audio for a 10.0s video using this event timeline. Scene: kitchen preparation with chopping and pan sizzle. Event timeline: 0.00s: object=room; action=room_tone; sound=small indoor kitchen room tone; layer=foley; priority=1; tolerance=500ms | 0.00s: object=knife; action=knife_chops; sound=rhythmic vegetable chopping on wooden board; layer=foley; priority=5; tolerance=100ms | 0.00s: object=pan; action=pan_sizzle_rise; sound=oil and food sizzling in pan; layer=foley; priority=4; tolerance=250ms | 0.00s: object=plate; action=plate_set_down; sound=ceramic plate placed on counter; layer=foley; priority=3; tolerance=120ms. Preserve temporal order. Align transient sounds to event timestamps. Do not add: speech, restaurant crowd, music, alarm beep, lyrics, voiceover."
kitchen_chop_sizzle_001,dss_layer_avoid,10.0,4,6,904,True,,"Generate layered video-synchronized audio. Scene layer: kitchen preparation with chopping and pan sizzle. Foley layer must emphasize these events: 0.00s: object=room; action=room_tone; sound=small indoor kitchen room tone; layer=foley; priority=1; tolerance=500ms | 0.00s: object=knife; action=knife_chops; sound=rhythmic vegetable chopping on wooden board; layer=foley; priority=5; tolerance=100ms | 0.00s: object=pan; action=pan_sizzle_rise; sound=oil and food sizzling in pan; layer=foley; priority=4; tolerance=250ms | 0.00s: object=plate; action=plate_set_down; sound=ceramic plate placed on counter; layer=foley; priority=3; tolerance=120ms. Ambience layer should remain low, continuous, and non-dominant. Music layer should be absent unless explicitly required. Forbidden content: speech, restaurant crowd, music, alarm beep, lyrics, voiceover. No speech, no lyrics, no unrelated background music."
robot_warehouse_pick_001,naive,10.0,4,7,228,True,,"Create realistic sound effects for this short video. Scene: robot arm picking an item in a warehouse. Use natural ambience and match visible actions. Avoid human speech, music, explosion, vehicle horn, speech, lyrics, voiceover."
robot_warehouse_pick_001,naive_rich,10.0,4,7,556,True,,"Create realistic sound effects for this short video. Scene: robot arm picking an item in a warehouse. The visible actions include: around 0.00s, warehouse warehouse_hum with low warehouse ventilation hum; around 0.00s, servo servo_arm_move with precise electric servo arm movement; around 0.00s, box box_lift with cardboard box lifted from shelf; around 0.00s, confirm confirm_beep with short clean robot confirmation beep. Make the sounds natural, synchronized, and cinematic. Avoid human speech, music, explosion, vehicle horn, speech, lyrics, voiceover."
robot_warehouse_pick_001,dss_global,10.0,4,7,304,True,,"Generate synchronized audio for a 10.0s video. Global scene: robot arm picking an item in a warehouse. Overall style: realistic Foley, no speech, no background music. Keep ambience stable, keep foley clear, avoid forbidden content: human speech, music, explosion, vehicle horn, speech, lyrics, voiceover."
