candidateId,failureBucket,severity,fixtureRole,eligibleForRerun,originalStatus,remediatedStatus,originalAbsOnsetDeltaSec,remediatedAbsOnsetDeltaSec,seedFailureBucket,seedSeverity,actionable,alertEligible,hasWaveformEvidence,rerunReason,nextAction
procedural_v0_0001,P4_PASS_NUMERIC_MARGIN_CONTROL,P4,numeric_margin_control,False,PASS,PASS,0.20499999821186066,0.20499999821186066,pass_low_risk_with_numeric_margin,P4,False,False,False,evidence shows pass control; no rerun unless future regression flips decision,Keep as numeric margin baseline and suppress false positive alerting.
procedural_v0_0002,P4_PASS_NUMERIC_MARGIN_CONTROL,P4,numeric_margin_control,False,PASS,PASS,0.23499999940395355,0.23499999940395355,pass_low_risk_with_numeric_margin,P4,False,False,False,evidence shows pass control; no rerun unless future regression flips decision,Keep as numeric margin baseline and suppress false positive alerting.
procedural_v0_0003,P4_PASS_NUMERIC_MARGIN_CONTROL,P4,numeric_margin_control,False,PASS,PASS,0.10499999672174454,0.10499999672174454,pass_low_risk_with_numeric_margin,P4,False,False,False,evidence shows pass control; no rerun unless future regression flips decision,Keep as numeric margin baseline and suppress false positive alerting.
procedural_v0_0004,P1_ACTIONABLE_REMEDIATED_TIMING_DRIFT,P1,paired_regression_fixture,True,FAIL_DRIFT,PASS,2.055000066757202,0.02500000037252903,timing_drift_actionable_remediated,P1,True,True,True,evidence shows actionable timing drift that was remediated; preserve original/remediated pair,Use as paired fixture for rerun-plan and future regression checks.
procedural_v0_0005,P4_PASS_NUMERIC_MARGIN_CONTROL,P4,numeric_margin_control,False,PASS,PASS,0.0949999988079071,0.0949999988079071,pass_low_risk_with_numeric_margin,P4,False,False,False,evidence shows pass control; no rerun unless future regression flips decision,Keep as numeric margin baseline and suppress false positive alerting.
procedural_v0_0006,P4_PASS_NUMERIC_MARGIN_CONTROL,P4,numeric_margin_control,False,PASS,PASS,0.13500000536441803,0.13500000536441803,pass_low_risk_with_numeric_margin,P4,False,False,False,evidence shows pass control; no rerun unless future regression flips decision,Keep as numeric margin baseline and suppress false positive alerting.
procedural_v0_0007,P2_WARN_NEAR_MISS_THRESHOLD_MARGIN,P2,threshold_margin_fixture,False,WARN_NEAR_MISS,WARN_NEAR_MISS,0.3050000071525574,0.3050000071525574,warn_near_miss_threshold_margin,P2,False,False,False,evidence shows near-threshold margin; monitor boundary instead of triggering actionable rerun,Use as threshold boundary guard; do not alert as actionable failure.
procedural_v0_0008,P4_PASS_NUMERIC_MARGIN_CONTROL,P4,numeric_margin_control,False,PASS,PASS,0.22499999403953552,0.22499999403953552,pass_low_risk_with_numeric_margin,P4,False,False,False,evidence shows pass control; no rerun unless future regression flips decision,Keep as numeric margin baseline and suppress false positive alerting.
procedural_v0_0009,P4_PASS_NUMERIC_MARGIN_CONTROL,P4,numeric_margin_control,False,PASS,PASS,0.125,0.125,pass_low_risk_with_numeric_margin,P4,False,False,False,evidence shows pass control; no rerun unless future regression flips decision,Keep as numeric margin baseline and suppress false positive alerting.
procedural_v0_0010,P1_ACTIONABLE_REMEDIATED_TIMING_DRIFT,P1,paired_regression_fixture,True,FAIL_DRIFT,PASS,1.044999957084656,0.02500000037252903,timing_drift_actionable_remediated,P1,True,True,True,evidence shows actionable timing drift that was remediated; preserve original/remediated pair,Use as paired fixture for rerun-plan and future regression checks.
