job_id,case_id,variant,status,block_reason,video_path,prompt_chars,event_count,primary_source,fallback_source,video_conditioned_primary,expected_output_wav,expected_output_flac,request_json
w18_001_forest_bird_branch_001_naive,forest_bird_branch_001,naive,queued,,cases/forest_bird_branch_001/input_video.mp4,240,4,MMAudio,StableAudioOpen_or_T2A,True,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/naive/w18_001_forest_bird_branch_001_naive.wav,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/naive/w18_001_forest_bird_branch_001_naive.flac,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/naive/request.json
w18_002_forest_bird_branch_001_naive_rich,forest_bird_branch_001,naive_rich,queued,,cases/forest_bird_branch_001/input_video.mp4,528,4,MMAudio,StableAudioOpen_or_T2A,True,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/naive_rich/w18_002_forest_bird_branch_001_naive_rich.wav,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/naive_rich/w18_002_forest_bird_branch_001_naive_rich.flac,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/naive_rich/request.json
w18_003_forest_bird_branch_001_dss_global,forest_bird_branch_001,dss_global,queued,,cases/forest_bird_branch_001/input_video.mp4,316,4,MMAudio,StableAudioOpen_or_T2A,True,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_global/w18_003_forest_bird_branch_001_dss_global.wav,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_global/w18_003_forest_bird_branch_001_dss_global.flac,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_global/request.json
w18_004_forest_bird_branch_001_dss_event_timeline,forest_bird_branch_001,dss_event_timeline,queued,,cases/forest_bird_branch_001/input_video.mp4,754,4,MMAudio,StableAudioOpen_or_T2A,True,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_event_timeline/w18_004_forest_bird_branch_001_dss_event_timeline.wav,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_event_timeline/w18_004_forest_bird_branch_001_dss_event_timeline.flac,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_event_timeline/request.json
w18_005_forest_bird_branch_001_dss_layer_avoid,forest_bird_branch_001,dss_layer_avoid,queued,,cases/forest_bird_branch_001/input_video.mp4,880,4,MMAudio,StableAudioOpen_or_T2A,True,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_layer_avoid/w18_005_forest_bird_branch_001_dss_layer_avoid.wav,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_layer_avoid/w18_005_forest_bird_branch_001_dss_layer_avoid.flac,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_layer_avoid/request.json
w18_006_glass_drop_room_001_naive,glass_drop_room_001,naive,queued,,cases/glass_drop_room_001/input_video.mp4,248,4,MMAudio,StableAudioOpen_or_T2A,True,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/naive/w18_006_glass_drop_room_001_naive.wav,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/naive/w18_006_glass_drop_room_001_naive.flac,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/naive/request.json
w18_007_glass_drop_room_001_naive_rich,glass_drop_room_001,naive_rich,queued,,cases/glass_drop_room_001/input_video.mp4,555,4,MMAudio,StableAudioOpen_or_T2A,True,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/naive_rich/w18_007_glass_drop_room_001_naive_rich.wav,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/naive_rich/w18_007_glass_drop_room_001_naive_rich.flac,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/naive_rich/request.json
w18_008_glass_drop_room_001_dss_global,glass_drop_room_001,dss_global,queued,,cases/glass_drop_room_001/input_video.mp4,324,4,MMAudio,StableAudioOpen_or_T2A,True,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/dss_global/w18_008_glass_drop_room_001_dss_global.wav,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/dss_global/w18_008_glass_drop_room_001_dss_global.flac,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/dss_global/request.json
w18_009_glass_drop_room_001_dss_event_timeline,glass_drop_room_001,dss_event_timeline,queued,,cases/glass_drop_room_001/input_video.mp4,780,4,MMAudio,StableAudioOpen_or_T2A,True,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/dss_event_timeline/w18_009_glass_drop_room_001_dss_event_timeline.wav,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/dss_event_timeline/w18_009_glass_drop_room_001_dss_event_timeline.flac,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/dss_event_timeline/request.json
w18_010_glass_drop_room_001_dss_layer_avoid,glass_drop_room_001,dss_layer_avoid,queued,,cases/glass_drop_room_001/input_video.mp4,906,4,MMAudio,StableAudioOpen_or_T2A,True,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/dss_layer_avoid/w18_010_glass_drop_room_001_dss_layer_avoid.wav,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/dss_layer_avoid/w18_010_glass_drop_room_001_dss_layer_avoid.flac,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/dss_layer_avoid/request.json
