candidateId,sourceRequestId,caseId,sceneId,eventId,eventLabel,layer,candidateUri,expectedStartSec,expectedEndSec,expectedDurationSec,durationSec,durationDeltaSec,durationMatchesExpected,sampleRateHz,channels,rmsDbfs,peakDbfs,formatOk,reviewStatus,humanAuditionRequired,semanticFidelityClaimed,mixReadyClaimed,failureTags,reviewNote
procedural_v0_0001,car_v1_0001_seed_0001_case_48b11c_evt_001,,seed_0001_case_48b11c,,contextual ambience bed,ambience,artifacts/audio_candidates/week12_procedural_baseline_v0/0001_slot_v0_0001_generation_fallback.wav,,,,,,,,,,,True,HUMAN_AUDITION_REQUIRED,True,False,False,human_audition_required|semantic_unverified|duration_unverified|duration_missing,Procedural fallback candidate. Requires human audition before semantic pass or mix readiness can be claimed.
procedural_v0_0002,car_v1_0002_seed_0001_case_48b11c_evt_002,,seed_0001_case_48b11c,,time-aligned footsteps,foley,artifacts/audio_candidates/week12_procedural_baseline_v0/0002_slot_v0_0002_generation_fallback.wav,,,,,,,,,,,True,HUMAN_AUDITION_REQUIRED,True,False,False,human_audition_required|semantic_unverified|duration_unverified|duration_missing,Procedural fallback candidate. Requires human audition before semantic pass or mix readiness can be claimed.
procedural_v0_0003,car_v1_0003_seed_0002_case_adc34a_evt_001,,seed_0002_case_adc34a,,contextual ambience bed,ambience,artifacts/audio_candidates/week12_procedural_baseline_v0/0003_slot_v0_0003_generation_fallback.wav,,,,,,,,,,,True,HUMAN_AUDITION_REQUIRED,True,False,False,human_audition_required|semantic_unverified|duration_unverified|duration_missing,Procedural fallback candidate. Requires human audition before semantic pass or mix readiness can be claimed.
procedural_v0_0004,car_v1_0004_seed_0002_case_adc34a_evt_002,,seed_0002_case_adc34a,,door close impact,foley,artifacts/audio_candidates/week12_procedural_baseline_v0/0004_slot_v0_0004_generation_fallback.wav,,,,,,,,,,,True,HUMAN_AUDITION_REQUIRED,True,False,False,human_audition_required|semantic_unverified|duration_unverified|duration_missing,Procedural fallback candidate. Requires human audition before semantic pass or mix readiness can be claimed.
procedural_v0_0005,car_v1_0005_seed_0003_case_9eb26a_evt_001,,seed_0003_case_9eb26a,,contextual ambience bed,ambience,artifacts/audio_candidates/week12_procedural_baseline_v0/0005_slot_v0_0005_generation_fallback.wav,,,,,,,,,,,True,HUMAN_AUDITION_REQUIRED,True,False,False,human_audition_required|semantic_unverified|duration_unverified|duration_missing,Procedural fallback candidate. Requires human audition before semantic pass or mix readiness can be claimed.
procedural_v0_0006,car_v1_0006_seed_0003_case_9eb26a_evt_002,,seed_0003_case_9eb26a,,raindrop impacts on window,foley,artifacts/audio_candidates/week12_procedural_baseline_v0/0006_slot_v0_0006_generation_fallback.wav,,,,,,,,,,,True,HUMAN_AUDITION_REQUIRED,True,False,False,human_audition_required|semantic_unverified|duration_unverified|duration_missing,Procedural fallback candidate. Requires human audition before semantic pass or mix readiness can be claimed.
procedural_v0_0007,car_v1_0007_seed_0004_case_f9f0fb_evt_001,,seed_0004_case_f9f0fb,,contextual ambience bed,ambience,artifacts/audio_candidates/week12_procedural_baseline_v0/0007_slot_v0_0007_generation_fallback.wav,,,,,,,,,,,True,HUMAN_AUDITION_REQUIRED,True,False,False,human_audition_required|semantic_unverified|duration_unverified|duration_missing,Procedural fallback candidate. Requires human audition before semantic pass or mix readiness can be claimed.
procedural_v0_0008,car_v1_0008_seed_0004_case_f9f0fb_evt_002,,seed_0004_case_f9f0fb,,keyboard typing taps,foley,artifacts/audio_candidates/week12_procedural_baseline_v0/0008_slot_v0_0008_generation_fallback.wav,,,,,,,,,,,True,HUMAN_AUDITION_REQUIRED,True,False,False,human_audition_required|semantic_unverified|duration_unverified|duration_missing,Procedural fallback candidate. Requires human audition before semantic pass or mix readiness can be claimed.
procedural_v0_0009,car_v1_0009_seed_0005_case_06f366_evt_001,,seed_0005_case_06f366,,outdoor bike-pass ambience,ambience,artifacts/audio_candidates/week12_procedural_baseline_v0/0009_slot_v0_0009_generation_fallback.wav,,,,,,,,,,,True,HUMAN_AUDITION_REQUIRED,True,False,False,human_audition_required|semantic_unverified|duration_unverified|duration_missing,Procedural fallback candidate. Requires human audition before semantic pass or mix readiness can be claimed.
procedural_v0_0010,car_v1_0010_seed_0005_case_06f366_evt_002,,seed_0005_case_06f366,,bicycle pass-by motion cue,foley,artifacts/audio_candidates/week12_procedural_baseline_v0/0010_slot_v0_0010_generation_fallback.wav,,,,,,,,,,,True,HUMAN_AUDITION_REQUIRED,True,False,False,human_audition_required|semantic_unverified|duration_unverified|duration_missing,Procedural fallback candidate. Requires human audition before semantic pass or mix readiness can be claimed.
