matrix_case_id,source_case_id,repair_id,slot_id,adapter_id,requested_mode,resource_class,seed,timeout_sec,video_path,dss_path,source_audio,repair_decision,allowed_publish_type,expected_output,case_order,slot_order,slot_key,model_revision,checkpoint_digest,queue_wait_ms,peak_gpu_memory_mb,cache_hit,resumed,status,generation_mode,output_path,output_sha256,runtime_ms,failure_code,failure_reason,audio
fb_001_tuesday_repair,forest_bird_branch_001,fb_001_tuesday_repair,v2a_primary,mmaudio,LIVE,gpu,20260721,900,cases/forest_bird_branch_001/input_video.mp4,cases/forest_bird_branch_001/director_sound_script.yaml,artifacts/repair/batch_20260714/fb_001/after.wav,MANUAL_REVIEW,PROVISIONAL,artifacts/model_runs/w20_candidate_matrix_20260721/fb_001_tuesday_repair/v2a_primary.wav,0,0,sha256:1cd82b0670d81cde195ce0f24f2636d7aec4ba586f16b902ca943a1999d91004,local-checkout,sha256:11fd92e860a58f0fac972706dd06034e49dceff2e1450bbde5703785c812b0f1,0,0.0,False,True,BLOCKED,LIVE,,,0,DEPENDENCY_MISSING,"missing imports: torch,torchaudio",
fb_001_tuesday_repair,forest_bird_branch_001,fb_001_tuesday_repair,v2a_temporal,foleycrafter,LIVE,gpu,20260721,900,cases/forest_bird_branch_001/input_video.mp4,cases/forest_bird_branch_001/director_sound_script.yaml,artifacts/repair/batch_20260714/fb_001/after.wav,MANUAL_REVIEW,PROVISIONAL,artifacts/model_runs/w20_candidate_matrix_20260721/fb_001_tuesday_repair/v2a_temporal.wav,0,1,sha256:fca89c0898870c6421fd9e8f1cba7636eb85a9a3c17ba590722044a69f22dbb4,unknown,,0,0.0,False,True,BLOCKED,LIVE,,,0,REPOSITORY_MISSING,repository not found: /home/GRT/work/_external/FoleyCrafter,
fb_001_tuesday_repair,forest_bird_branch_001,fb_001_tuesday_repair,t2a_dss,tangoflux,LIVE,gpu,20260721,600,cases/forest_bird_branch_001/input_video.mp4,cases/forest_bird_branch_001/director_sound_script.yaml,artifacts/repair/batch_20260714/fb_001/after.wav,MANUAL_REVIEW,PROVISIONAL,artifacts/model_runs/w20_candidate_matrix_20260721/fb_001_tuesday_repair/t2a_dss.wav,0,2,sha256:17b42878c935e32efde298a5314634c10daaa8143edc84e360a380f0d238fa84,unknown,,0,0.0,False,True,BLOCKED,LIVE,,,0,REPOSITORY_MISSING,repository not found: /home/GRT/work/_external/TangoFlux,
fb_001_tuesday_repair,forest_bird_branch_001,fb_001_tuesday_repair,control,control,CONTROL,cpu,20260721,30,cases/forest_bird_branch_001/input_video.mp4,cases/forest_bird_branch_001/director_sound_script.yaml,artifacts/repair/batch_20260714/fb_001/after.wav,MANUAL_REVIEW,PROVISIONAL,artifacts/model_runs/w20_candidate_matrix_20260721/fb_001_tuesday_repair/control.wav,0,3,sha256:7eb05b4518c908f7721fa31b55bf4e2427231f20146bf28e4327b8763cf17e43,stdlib-sine-v1,,0,0.0,False,True,SUCCEEDED,CONTROL,artifacts/model_runs/w20_candidate_matrix_20260721/fb_001_tuesday_repair/control.wav,sha256:5688631aa7ae39d6f0fa1b88a6e96cc2d37ae11cfbfe5b1a83c5171b84fec81a,7,,,"{""channels"": 1, ""clip_ratio"": 0.0, ""duration_sec"": 1.0, ""peak_abs"": 0.079345703125, ""readable"": true, ""sample_rate"": 16000, ""silence_ratio"": 0.008125}"
fb_012_tuesday_repair,forest_bird_branch_001,fb_012_tuesday_repair,v2a_primary,mmaudio,LIVE,gpu,20260722,900,cases/forest_bird_branch_001/input_video.mp4,cases/forest_bird_branch_001/director_sound_script.yaml,artifacts/repair/batch_20260714/fb_012/after.wav,MANUAL_REVIEW,PROVISIONAL,artifacts/model_runs/w20_candidate_matrix_20260721/fb_012_tuesday_repair/v2a_primary.wav,1,0,sha256:68db731cdfc420521a7b32562888007e70efefb93cd29a63b6da1c30b7aa582c,local-checkout,sha256:11fd92e860a58f0fac972706dd06034e49dceff2e1450bbde5703785c812b0f1,0,0.0,False,True,BLOCKED,LIVE,,,0,DEPENDENCY_MISSING,"missing imports: torch,torchaudio",
fb_012_tuesday_repair,forest_bird_branch_001,fb_012_tuesday_repair,v2a_temporal,foleycrafter,LIVE,gpu,20260722,900,cases/forest_bird_branch_001/input_video.mp4,cases/forest_bird_branch_001/director_sound_script.yaml,artifacts/repair/batch_20260714/fb_012/after.wav,MANUAL_REVIEW,PROVISIONAL,artifacts/model_runs/w20_candidate_matrix_20260721/fb_012_tuesday_repair/v2a_temporal.wav,1,1,sha256:87cfd7f91ca1f0c8599ba43f21b334500e9a35e9b0e0ae273d85c393be657a1b,unknown,,0,0.0,False,True,BLOCKED,LIVE,,,0,REPOSITORY_MISSING,repository not found: /home/GRT/work/_external/FoleyCrafter,
fb_012_tuesday_repair,forest_bird_branch_001,fb_012_tuesday_repair,t2a_dss,tangoflux,LIVE,gpu,20260722,600,cases/forest_bird_branch_001/input_video.mp4,cases/forest_bird_branch_001/director_sound_script.yaml,artifacts/repair/batch_20260714/fb_012/after.wav,MANUAL_REVIEW,PROVISIONAL,artifacts/model_runs/w20_candidate_matrix_20260721/fb_012_tuesday_repair/t2a_dss.wav,1,2,sha256:e6ac70d8a6f102d0dc7d142d7a42066d6b029ddf206ae54f3c3b33fb4043652d,unknown,,0,0.0,False,True,BLOCKED,LIVE,,,0,REPOSITORY_MISSING,repository not found: /home/GRT/work/_external/TangoFlux,
fb_012_tuesday_repair,forest_bird_branch_001,fb_012_tuesday_repair,control,control,CONTROL,cpu,20260722,30,cases/forest_bird_branch_001/input_video.mp4,cases/forest_bird_branch_001/director_sound_script.yaml,artifacts/repair/batch_20260714/fb_012/after.wav,MANUAL_REVIEW,PROVISIONAL,artifacts/model_runs/w20_candidate_matrix_20260721/fb_012_tuesday_repair/control.wav,1,3,sha256:cbb91d8e5393bca7171e9504736924761c3e846b04256ae3b7893cae5f7c915f,stdlib-sine-v1,,0,0.0,True,True,SUCCEEDED,CONTROL,artifacts/model_runs/w20_candidate_matrix_20260721/fb_012_tuesday_repair/control.wav,sha256:6c5e3331bb27ccc1f72d25601390b70a939bcf2afc75dffa8f5c97cd38a71313,4,,,"{""channels"": 1, ""clip_ratio"": 0.0, ""duration_sec"": 1.0, ""peak_abs"": 0.079345703125, ""readable"": true, ""sample_rate"": 16000, ""silence_ratio"": 0.00875}"
fb_009_tuesday_repair,glass_drop_room_001,fb_009_tuesday_repair,v2a_primary,mmaudio,LIVE,gpu,20260723,900,cases/glass_drop_room_001/input_video.mp4,cases/glass_drop_room_001/director_sound_script.yaml,artifacts/repair/batch_20260714/fb_009/after.wav,MANUAL_REVIEW,PROVISIONAL,artifacts/model_runs/w20_candidate_matrix_20260721/fb_009_tuesday_repair/v2a_primary.wav,2,0,sha256:517a78fc484459c4f08c655d489c8839df637399fe6873ad3f69452cac9afa96,local-checkout,sha256:11fd92e860a58f0fac972706dd06034e49dceff2e1450bbde5703785c812b0f1,0,0.0,False,True,BLOCKED,LIVE,,,0,DEPENDENCY_MISSING,"missing imports: torch,torchaudio",
fb_009_tuesday_repair,glass_drop_room_001,fb_009_tuesday_repair,v2a_temporal,foleycrafter,LIVE,gpu,20260723,900,cases/glass_drop_room_001/input_video.mp4,cases/glass_drop_room_001/director_sound_script.yaml,artifacts/repair/batch_20260714/fb_009/after.wav,MANUAL_REVIEW,PROVISIONAL,artifacts/model_runs/w20_candidate_matrix_20260721/fb_009_tuesday_repair/v2a_temporal.wav,2,1,sha256:daeabd18e21a5b453bd61f1beece247d5ad596345d4ab0703efc7bdee5784eb0,unknown,,0,0.0,False,True,BLOCKED,LIVE,,,0,REPOSITORY_MISSING,repository not found: /home/GRT/work/_external/FoleyCrafter,
