candidateId,sourceFailureBucket,sourceSeverity,sourceActionability,fixtureRole,mixEligibility,requiredSafeguard,nextAction
procedural_v0_0001,P4_PASS_NUMERIC_MARGIN_CONTROL,P4,False,P4_NUMERIC_MARGIN_CONTROL,ELIGIBLE_CONTROL_ONLY,allow_as_numeric_margin_control_not_quality_claim,eligible_as_control_input_for_w17_layer_mix_v0
procedural_v0_0002,P4_PASS_NUMERIC_MARGIN_CONTROL,P4,False,P4_NUMERIC_MARGIN_CONTROL,ELIGIBLE_CONTROL_ONLY,allow_as_numeric_margin_control_not_quality_claim,eligible_as_control_input_for_w17_layer_mix_v0
procedural_v0_0003,P4_PASS_NUMERIC_MARGIN_CONTROL,P4,False,P4_NUMERIC_MARGIN_CONTROL,ELIGIBLE_CONTROL_ONLY,allow_as_numeric_margin_control_not_quality_claim,eligible_as_control_input_for_w17_layer_mix_v0
procedural_v0_0004,P1_ACTIONABLE_REMEDIATED_TIMING_DRIFT,P1,True,P1_PAIRED_REGRESSION_FIXTURE,BLOCK_AUTOMIX_REGRESSION_ONLY,preserve_original_fail_and_remediated_pass_pair_before_layer_mix,exclude_from_automatic_mix_and_keep_for_regression_gate
procedural_v0_0005,P4_PASS_NUMERIC_MARGIN_CONTROL,P4,False,P4_NUMERIC_MARGIN_CONTROL,ELIGIBLE_CONTROL_ONLY,allow_as_numeric_margin_control_not_quality_claim,eligible_as_control_input_for_w17_layer_mix_v0
procedural_v0_0006,P4_PASS_NUMERIC_MARGIN_CONTROL,P4,False,P4_NUMERIC_MARGIN_CONTROL,ELIGIBLE_CONTROL_ONLY,allow_as_numeric_margin_control_not_quality_claim,eligible_as_control_input_for_w17_layer_mix_v0
procedural_v0_0007,P2_WARN_NEAR_MISS_THRESHOLD_MARGIN,P2,False,P2_THRESHOLD_MARGIN_FIXTURE,MONITOR_ONLY_THRESHOLD_MARGIN,require_threshold_margin_monitoring_before_layer_mix,exclude_from_automatic_mix_until_margin_policy_is_explicit
procedural_v0_0008,P4_PASS_NUMERIC_MARGIN_CONTROL,P4,False,P4_NUMERIC_MARGIN_CONTROL,ELIGIBLE_CONTROL_ONLY,allow_as_numeric_margin_control_not_quality_claim,eligible_as_control_input_for_w17_layer_mix_v0
procedural_v0_0009,P4_PASS_NUMERIC_MARGIN_CONTROL,P4,False,P4_NUMERIC_MARGIN_CONTROL,ELIGIBLE_CONTROL_ONLY,allow_as_numeric_margin_control_not_quality_claim,eligible_as_control_input_for_w17_layer_mix_v0
procedural_v0_0010,P1_ACTIONABLE_REMEDIATED_TIMING_DRIFT,P1,True,P1_PAIRED_REGRESSION_FIXTURE,BLOCK_AUTOMIX_REGRESSION_ONLY,preserve_original_fail_and_remediated_pass_pair_before_layer_mix,exclude_from_automatic_mix_and_keep_for_regression_gate
