candidateId,planBucket,fixtureRole,mixEligibility,artifactPathStatus,nextAction
procedural_v0_0001,selected_control_input,P4_NUMERIC_MARGIN_CONTROL,ELIGIBLE_CONTROL_ONLY,NOT_FOUND,eligible_as_control_input_for_w17_layer_mix_v0
procedural_v0_0002,selected_control_input,P4_NUMERIC_MARGIN_CONTROL,ELIGIBLE_CONTROL_ONLY,NOT_FOUND,eligible_as_control_input_for_w17_layer_mix_v0
procedural_v0_0003,selected_control_input,P4_NUMERIC_MARGIN_CONTROL,ELIGIBLE_CONTROL_ONLY,NOT_FOUND,eligible_as_control_input_for_w17_layer_mix_v0
procedural_v0_0005,selected_control_input,P4_NUMERIC_MARGIN_CONTROL,ELIGIBLE_CONTROL_ONLY,NOT_FOUND,eligible_as_control_input_for_w17_layer_mix_v0
procedural_v0_0006,selected_control_input,P4_NUMERIC_MARGIN_CONTROL,ELIGIBLE_CONTROL_ONLY,NOT_FOUND,eligible_as_control_input_for_w17_layer_mix_v0
procedural_v0_0008,selected_control_input,P4_NUMERIC_MARGIN_CONTROL,ELIGIBLE_CONTROL_ONLY,NOT_FOUND,eligible_as_control_input_for_w17_layer_mix_v0
procedural_v0_0009,selected_control_input,P4_NUMERIC_MARGIN_CONTROL,ELIGIBLE_CONTROL_ONLY,NOT_FOUND,eligible_as_control_input_for_w17_layer_mix_v0
procedural_v0_0004,blocked_regression_fixture,P1_PAIRED_REGRESSION_FIXTURE,BLOCK_AUTOMIX_REGRESSION_ONLY,NOT_FOUND,exclude_from_automatic_mix_and_keep_for_regression_gate
procedural_v0_0010,blocked_regression_fixture,P1_PAIRED_REGRESSION_FIXTURE,BLOCK_AUTOMIX_REGRESSION_ONLY,NOT_FOUND,exclude_from_automatic_mix_and_keep_for_regression_gate
procedural_v0_0007,monitor_only_fixture,P2_THRESHOLD_MARGIN_FIXTURE,MONITOR_ONLY_THRESHOLD_MARGIN,NOT_FOUND,exclude_from_automatic_mix_until_margin_policy_is_explicit
