blueprint_id,source_seed_id,scene_description,semantic_tags,duration_seconds,event_id,label,layer_type,start_seconds,end_seconds,priority,intensity,alignment_rule,prompt,blueprint_artifact_uri
blueprint_v1_66d315251e,seed_0001_case_48b11c,"Urban walking scene with visible pedestrian motion, continuous street ambience, and time-aligned footsteps.",urban|walking|footsteps|street_ambience,8.0,seed_0001_case_48b11c_evt_001,contextual ambience bed,ambience,0.0,8.0,medium,0.35,span_full_clip_as_context,Low-level city street ambience with distant traffic and outdoor environmental noise.,artifacts/manifests/week12_blueprint_v1_manifest.json#blueprint_v1_66d315251e
blueprint_v1_66d315251e,seed_0001_case_48b11c,"Urban walking scene with visible pedestrian motion, continuous street ambience, and time-aligned footsteps.",urban|walking|footsteps|street_ambience,8.0,seed_0001_case_48b11c_evt_002,time-aligned footsteps,foley,1.44,5.76,high,0.78,align_to_main_visible_action,"Footsteps synchronized to the walking action, with subtle cloth movement and ground contact.",artifacts/manifests/week12_blueprint_v1_manifest.json#blueprint_v1_66d315251e
blueprint_v1_a221f75cba,seed_0002_case_adc34a,Indoor door-closing scene with a short foreground door impact and quiet room tone.,indoor|door_close|impact|room_tone,8.0,seed_0002_case_adc34a_evt_001,contextual ambience bed,ambience,0.0,8.0,medium,0.35,span_full_clip_as_context,Quiet indoor room tone before and after the door action.,artifacts/manifests/week12_blueprint_v1_manifest.json#blueprint_v1_a221f75cba
blueprint_v1_a221f75cba,seed_0002_case_adc34a,Indoor door-closing scene with a short foreground door impact and quiet room tone.,indoor|door_close|impact|room_tone,8.0,seed_0002_case_adc34a_evt_002,door close impact,foley,1.44,5.76,high,0.78,align_to_main_visible_action,Door closing thud with latch detail aligned to the visible closing moment.,artifacts/manifests/week12_blueprint_v1_manifest.json#blueprint_v1_a221f75cba
blueprint_v1_276cc4a44c,seed_0003_case_9eb26a,Rain-at-window scene with continuous rainfall ambience and localized water impact texture.,rain|window|weather|water_impact,8.0,seed_0003_case_9eb26a_evt_001,contextual ambience bed,ambience,0.0,8.0,medium,0.35,span_full_clip_as_context,Continuous rainfall bed with soft outdoor weather texture.,artifacts/manifests/week12_blueprint_v1_manifest.json#blueprint_v1_276cc4a44c
blueprint_v1_276cc4a44c,seed_0003_case_9eb26a,Rain-at-window scene with continuous rainfall ambience and localized water impact texture.,rain|window|weather|water_impact,8.0,seed_0003_case_9eb26a_evt_002,raindrop impacts on window,foley,1.44,5.76,high,0.78,align_to_main_visible_action,Raindrop impacts against glass aligned with visible window/rain cues.,artifacts/manifests/week12_blueprint_v1_manifest.json#blueprint_v1_276cc4a44c
blueprint_v1_2b95ab765d,seed_0004_case_f9f0fb,Desk typing scene with close foreground keystrokes and low indoor ambience.,typing|keyboard|desk|indoor,8.0,seed_0004_case_f9f0fb_evt_001,contextual ambience bed,ambience,0.0,8.0,medium,0.35,span_full_clip_as_context,Quiet indoor desk ambience with minimal background noise.,artifacts/manifests/week12_blueprint_v1_manifest.json#blueprint_v1_2b95ab765d
blueprint_v1_2b95ab765d,seed_0004_case_f9f0fb,Desk typing scene with close foreground keystrokes and low indoor ambience.,typing|keyboard|desk|indoor,8.0,seed_0004_case_f9f0fb_evt_002,keyboard typing taps,foley,1.44,5.76,high,0.78,align_to_main_visible_action,Short keyboard taps aligned to visible typing motion.,artifacts/manifests/week12_blueprint_v1_manifest.json#blueprint_v1_2b95ab765d
blueprint_v1_5e6fcc8a2a,seed_0005_case_06f366,Bicycle pass-by scene with continuous outdoor ambience and a foreground bicycle motion cue aligned to the visible pass.,bike|pass_by|motion|outdoor_ambience|foreground_foley,8.0,seed_0005_case_06f366_evt_001,outdoor bike-pass ambience,ambience,0.0,8.0,medium,0.34,span_full_clip_as_context,Outdoor ambience with subtle street/path noise under a bicycle pass-by foreground event.,artifacts/manifests/week12_blueprint_v1_manifest.json#blueprint_v1_5e6fcc8a2a
blueprint_v1_5e6fcc8a2a,seed_0005_case_06f366,Bicycle pass-by scene with continuous outdoor ambience and a foreground bicycle motion cue aligned to the visible pass.,bike|pass_by|motion|outdoor_ambience|foreground_foley,8.0,seed_0005_case_06f366_evt_002,bicycle pass-by motion cue,foley,1.2,5.44,high,0.8,align_to_visible_bike_pass_by,"Bicycle wheel, chain, and close pass-by motion cue synchronized to the visible bike movement.",artifacts/manifests/week12_blueprint_v1_manifest.json#blueprint_v1_5e6fcc8a2a
