candidate_id,case_id,model,prompt_variant,video_conditioned,input_video,duration_sec,expected_output_wav,status,command
forest_bird_branch_001__mmaudio__dss_compact,forest_bird_branch_001,MMAudio,dss_compact,true,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/forest_bird_branch_001/input_video.mp4,8.00,/home/GRT/work/audio_engineering_repo_skeleton_v1/experiments/mmaudio_baseline_2026_06_30/candidates/forest_bird_branch_001__mmaudio__dss_compact.wav,queued,"cd ""$MMAUDIO_REPO"" && python demo.py --duration=8.00 --video /home/GRT/work/audio_engineering_repo_skeleton_v1/cases/forest_bird_branch_001/input_video.mp4 --prompt 'Generate synchronized Foley and ambience for silent video case forest_bird_branch_001. Base scene: Generate soft forest ambience, bird chirps, leaf rustle, and a clear small branch crack synchronized to the visible motion.. Key timed events: E1: sound=soft wind through leaves, priority=2, tolerance=500 | E2: sound=two short bird chirps, priority=3, tolerance=150 | E3: sound=small animal or bird rustling leaves, priority=4, tolerance=180 | E4: sound=dry branch crack, priority=5, tolerance=100. Prioritize accurate onset timing, plausible object sounds, natural room ambience, and no narration.'"
forest_bird_branch_001__mmaudio__dss_avoid_priority,forest_bird_branch_001,MMAudio,dss_avoid_priority,true,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/forest_bird_branch_001/input_video.mp4,8.00,/home/GRT/work/audio_engineering_repo_skeleton_v1/experiments/mmaudio_baseline_2026_06_30/candidates/forest_bird_branch_001__mmaudio__dss_avoid_priority.wav,queued,"cd ""$MMAUDIO_REPO"" && python demo.py --duration=8.00 --video /home/GRT/work/audio_engineering_repo_skeleton_v1/cases/forest_bird_branch_001/input_video.mp4 --prompt 'Director sound script for case forest_bird_branch_001. Create audio that follows the visual event order and priority. Timed event contract: E1: sound=soft wind through leaves, priority=2, tolerance=500 | E2: sound=two short bird chirps, priority=3, tolerance=150 | E3: sound=small animal or bird rustling leaves, priority=4, tolerance=180 | E4: sound=dry branch crack, priority=5, tolerance=100. Avoid: speech, unrelated music, exaggerated cinematic hits. Keep Foley transients aligned to visible actions, preserve background ambience, and avoid speech leakage.'"
glass_drop_room_001__mmaudio__dss_compact,glass_drop_room_001,MMAudio,dss_compact,true,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/glass_drop_room_001/input_video.mp4,7.00,/home/GRT/work/audio_engineering_repo_skeleton_v1/experiments/mmaudio_baseline_2026_06_30/candidates/glass_drop_room_001__mmaudio__dss_compact.wav,queued,"cd ""$MMAUDIO_REPO"" && python demo.py --duration=7.00 --video /home/GRT/work/audio_engineering_repo_skeleton_v1/cases/glass_drop_room_001/input_video.mp4 --prompt 'Generate synchronized Foley and ambience for silent video case glass_drop_room_001. Base scene: Generate quiet room tone, a glass slip, sharp impact, glass shatter, and a short reflective tail.. Key timed events: E1: sound=quiet indoor room tone, priority=1, tolerance=500 | E2: sound=glass sliding off table edge, priority=4, tolerance=120 | E3: sound=sharp glass impact on hard floor, priority=5, tolerance=70 | E4: sound=small glass fragments scattering, priority=5, tolerance=100. Prioritize accurate onset timing, plausible object sounds, natural room ambience, and no narration.'"
glass_drop_room_001__mmaudio__dss_avoid_priority,glass_drop_room_001,MMAudio,dss_avoid_priority,true,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/glass_drop_room_001/input_video.mp4,7.00,/home/GRT/work/audio_engineering_repo_skeleton_v1/experiments/mmaudio_baseline_2026_06_30/candidates/glass_drop_room_001__mmaudio__dss_avoid_priority.wav,queued,"cd ""$MMAUDIO_REPO"" && python demo.py --duration=7.00 --video /home/GRT/work/audio_engineering_repo_skeleton_v1/cases/glass_drop_room_001/input_video.mp4 --prompt 'Director sound script for case glass_drop_room_001. Create audio that follows the visual event order and priority. Timed event contract: E1: sound=quiet indoor room tone, priority=1, tolerance=500 | E2: sound=glass sliding off table edge, priority=4, tolerance=120 | E3: sound=sharp glass impact on hard floor, priority=5, tolerance=70 | E4: sound=small glass fragments scattering, priority=5, tolerance=100. Avoid: speech, unrelated music, exaggerated cinematic hits. Keep Foley transients aligned to visible actions, preserve background ambience, and avoid speech leakage.'"
kitchen_chop_sizzle_001__mmaudio__dss_compact,kitchen_chop_sizzle_001,MMAudio,dss_compact,true,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/kitchen_chop_sizzle_001/input_video.mp4,10.00,/home/GRT/work/audio_engineering_repo_skeleton_v1/experiments/mmaudio_baseline_2026_06_30/candidates/kitchen_chop_sizzle_001__mmaudio__dss_compact.wav,queued,"cd ""$MMAUDIO_REPO"" && python demo.py --duration=10.00 --video /home/GRT/work/audio_engineering_repo_skeleton_v1/cases/kitchen_chop_sizzle_001/input_video.mp4 --prompt 'Generate synchronized Foley and ambience for silent video case kitchen_chop_sizzle_001. Base scene: Generate kitchen Foley with clean knife chops, pan sizzle, light utensil handling, and a plate set-down.. Key timed events: E1: sound=small indoor kitchen room tone, priority=1, tolerance=500 | E2: sound=rhythmic vegetable chopping on wooden board, priority=5, tolerance=100 | E3: sound=oil and food sizzling in pan, priority=4, tolerance=250 | E4: sound=ceramic plate placed on counter, priority=3, tolerance=120. Prioritize accurate onset timing, plausible object sounds, natural room ambience, and no narration.'"
kitchen_chop_sizzle_001__mmaudio__dss_avoid_priority,kitchen_chop_sizzle_001,MMAudio,dss_avoid_priority,true,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/kitchen_chop_sizzle_001/input_video.mp4,10.00,/home/GRT/work/audio_engineering_repo_skeleton_v1/experiments/mmaudio_baseline_2026_06_30/candidates/kitchen_chop_sizzle_001__mmaudio__dss_avoid_priority.wav,queued,"cd ""$MMAUDIO_REPO"" && python demo.py --duration=10.00 --video /home/GRT/work/audio_engineering_repo_skeleton_v1/cases/kitchen_chop_sizzle_001/input_video.mp4 --prompt 'Director sound script for case kitchen_chop_sizzle_001. Create audio that follows the visual event order and priority. Timed event contract: E1: sound=small indoor kitchen room tone, priority=1, tolerance=500 | E2: sound=rhythmic vegetable chopping on wooden board, priority=5, tolerance=100 | E3: sound=oil and food sizzling in pan, priority=4, tolerance=250 | E4: sound=ceramic plate placed on counter, priority=3, tolerance=120. Avoid: speech, unrelated music, exaggerated cinematic hits. Keep Foley transients aligned to visible actions, preserve background ambience, and avoid speech leakage.'"
robot_warehouse_pick_001__mmaudio__dss_compact,robot_warehouse_pick_001,MMAudio,dss_compact,true,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/robot_warehouse_pick_001/input_video.mp4,11.00,/home/GRT/work/audio_engineering_repo_skeleton_v1/experiments/mmaudio_baseline_2026_06_30/candidates/robot_warehouse_pick_001__mmaudio__dss_compact.wav,queued,"cd ""$MMAUDIO_REPO"" && python demo.py --duration=11.00 --video /home/GRT/work/audio_engineering_repo_skeleton_v1/cases/robot_warehouse_pick_001/input_video.mp4 --prompt 'Generate synchronized Foley and ambience for silent video case robot_warehouse_pick_001. Base scene: Create mechanical servo movement, soft warehouse ambience, cardboard handling, and a short confirmation beep.. Key timed events: E1: sound=low warehouse ventilation hum, priority=1, tolerance=600 | E2: sound=precise electric servo arm movement, priority=4, tolerance=180 | E3: sound=cardboard box lifted from shelf, priority=5, tolerance=150 | E4: sound=short clean robot confirmation beep, priority=3, tolerance=80. Prioritize accurate onset timing, plausible object sounds, natural room ambience, and no narration.'"
robot_warehouse_pick_001__mmaudio__dss_avoid_priority,robot_warehouse_pick_001,MMAudio,dss_avoid_priority,true,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/robot_warehouse_pick_001/input_video.mp4,11.00,/home/GRT/work/audio_engineering_repo_skeleton_v1/experiments/mmaudio_baseline_2026_06_30/candidates/robot_warehouse_pick_001__mmaudio__dss_avoid_priority.wav,queued,"cd ""$MMAUDIO_REPO"" && python demo.py --duration=11.00 --video /home/GRT/work/audio_engineering_repo_skeleton_v1/cases/robot_warehouse_pick_001/input_video.mp4 --prompt 'Director sound script for case robot_warehouse_pick_001. Create audio that follows the visual event order and priority. Timed event contract: E1: sound=low warehouse ventilation hum, priority=1, tolerance=600 | E2: sound=precise electric servo arm movement, priority=4, tolerance=180 | E3: sound=cardboard box lifted from shelf, priority=5, tolerance=150 | E4: sound=short clean robot confirmation beep, priority=3, tolerance=80. Avoid: speech, unrelated music, exaggerated cinematic hits. Keep Foley transients aligned to visible actions, preserve background ambience, and avoid speech leakage.'"
street_rain_crosswalk_001__mmaudio__dss_compact,street_rain_crosswalk_001,MMAudio,dss_compact,true,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/street_rain_crosswalk_001/input_video.mp4,9.00,/home/GRT/work/audio_engineering_repo_skeleton_v1/experiments/mmaudio_baseline_2026_06_30/candidates/street_rain_crosswalk_001__mmaudio__dss_compact.wav,queued,"cd ""$MMAUDIO_REPO"" && python demo.py --duration=9.00 --video /home/GRT/work/audio_engineering_repo_skeleton_v1/cases/street_rain_crosswalk_001/input_video.mp4 --prompt 'Generate synchronized Foley and ambience for silent video case street_rain_crosswalk_001. Base scene: Create synchronized rain ambience, wet footsteps, a passing car, and a short puddle splash for a rainy night crosswalk.. Key timed events: E1: sound=steady light rain and wet street bed, priority=2, tolerance=500 | E2: sound=wet shoes stepping through shallow water, priority=4, tolerance=180 | E3: sound=muffled car pass-by on wet road, priority=3, tolerance=250 | E4: sound=single sharp puddle splash near camera, priority=5, tolerance=120. Prioritize accurate onset timing, plausible object sounds, natural room ambience, and no narration.'"
street_rain_crosswalk_001__mmaudio__dss_avoid_priority,street_rain_crosswalk_001,MMAudio,dss_avoid_priority,true,/home/GRT/work/audio_engineering_repo_skeleton_v1/cases/street_rain_crosswalk_001/input_video.mp4,9.00,/home/GRT/work/audio_engineering_repo_skeleton_v1/experiments/mmaudio_baseline_2026_06_30/candidates/street_rain_crosswalk_001__mmaudio__dss_avoid_priority.wav,queued,"cd ""$MMAUDIO_REPO"" && python demo.py --duration=9.00 --video /home/GRT/work/audio_engineering_repo_skeleton_v1/cases/street_rain_crosswalk_001/input_video.mp4 --prompt 'Director sound script for case street_rain_crosswalk_001. Create audio that follows the visual event order and priority. Timed event contract: E1: sound=steady light rain and wet street bed, priority=2, tolerance=500 | E2: sound=wet shoes stepping through shallow water, priority=4, tolerance=180 | E3: sound=muffled car pass-by on wet road, priority=3, tolerance=250 | E4: sound=single sharp puddle splash near camera, priority=5, tolerance=120. Avoid: speech, unrelated music, exaggerated cinematic hits. Keep Foley transients aligned to visible actions, preserve background ambience, and avoid speech leakage.'"
