dryRunOrder,candidateId,audioUri,sourceType,caseId,sceneId,eventId,layer,label,assetTimeMode,placementRequired,expectedStartSec,expectedEndSec,correctGlobalStartSec,correctGlobalEndSec,placementOffsetSec,dryRunAction
1,procedural_v0_0001,artifacts/audio_candidates/week12_procedural_baseline_v0/0001_slot_v0_0001_generation_fallback.wav,procedural_baseline_v0,seed_0001_case_48b11c,seed_0001_case_48b11c,evt_001,ambience,contextual ambience bed,full_clip,False,0.0,8.0,0.0,8.0,0.0,place_full_clip_on_global_timeline
2,procedural_v0_0002,artifacts/audio_candidates/week12_procedural_baseline_v0/0002_slot_v0_0002_generation_fallback.wav,procedural_baseline_v0,seed_0001_case_48b11c,seed_0001_case_48b11c,evt_002,foley,time-aligned footsteps,event_local,True,1.44,5.76,1.44,5.76,1.44,place_local_audio_at_expectedStartSec
3,procedural_v0_0003,artifacts/audio_candidates/week12_procedural_baseline_v0/0003_slot_v0_0003_generation_fallback.wav,procedural_baseline_v0,seed_0002_case_adc34a,seed_0002_case_adc34a,evt_001,ambience,contextual ambience bed,full_clip,False,0.0,8.0,0.0,8.0,0.0,place_full_clip_on_global_timeline
4,procedural_v0_0004,artifacts/audio_candidates/week12_procedural_baseline_v0/0004_slot_v0_0004_generation_fallback.wav,procedural_baseline_v0,seed_0002_case_adc34a,seed_0002_case_adc34a,evt_002,foley,door close impact,event_local,True,1.44,5.76,1.44,5.76,1.44,place_local_audio_at_expectedStartSec
5,procedural_v0_0005,artifacts/audio_candidates/week12_procedural_baseline_v0/0005_slot_v0_0005_generation_fallback.wav,procedural_baseline_v0,seed_0003_case_9eb26a,seed_0003_case_9eb26a,evt_001,ambience,contextual ambience bed,full_clip,False,0.0,8.0,0.0,8.0,0.0,place_full_clip_on_global_timeline
6,procedural_v0_0006,artifacts/audio_candidates/week12_procedural_baseline_v0/0006_slot_v0_0006_generation_fallback.wav,procedural_baseline_v0,seed_0003_case_9eb26a,seed_0003_case_9eb26a,evt_002,foley,raindrop impacts on window,event_local,True,1.44,5.76,1.44,5.76,1.44,place_local_audio_at_expectedStartSec
7,procedural_v0_0007,artifacts/audio_candidates/week12_procedural_baseline_v0/0007_slot_v0_0007_generation_fallback.wav,procedural_baseline_v0,seed_0004_case_f9f0fb,seed_0004_case_f9f0fb,evt_001,ambience,contextual ambience bed,full_clip,False,0.0,8.0,0.0,8.0,0.0,place_full_clip_on_global_timeline
8,procedural_v0_0008,artifacts/audio_candidates/week12_procedural_baseline_v0/0008_slot_v0_0008_generation_fallback.wav,procedural_baseline_v0,seed_0004_case_f9f0fb,seed_0004_case_f9f0fb,evt_002,foley,keyboard typing taps,event_local,True,1.44,5.76,1.44,5.76,1.44,place_local_audio_at_expectedStartSec
9,procedural_v0_0009,artifacts/audio_candidates/week12_procedural_baseline_v0/0009_slot_v0_0009_generation_fallback.wav,procedural_baseline_v0,seed_0005_case_06f366,seed_0005_case_06f366,evt_001,ambience,outdoor bike-pass ambience,full_clip,False,0.0,8.0,0.0,8.0,0.0,place_full_clip_on_global_timeline
10,procedural_v0_0010,artifacts/audio_candidates/week12_procedural_baseline_v0/0010_slot_v0_0010_generation_fallback.wav,procedural_baseline_v0,seed_0005_case_06f366,seed_0005_case_06f366,evt_002,foley,bicycle pass-by motion cue,event_local,True,1.2,5.44,1.2,5.44,1.2,place_local_audio_at_expectedStartSec
