candidate_id,case_id,model,prompt_variant,status,fallback_used,video_conditioned,blocked_reason,output_wav,readable,duration_sec,sample_rate,channels,rms,peak,clip_rate,silence_ratio,runtime_sec
forest_bird_branch_001__mmaudio__dss_compact,forest_bird_branch_001,MMAudio,dss_compact,fallback_control_generated,True,False,mmaudio_repo_env_missing,/home/GRT/work/grt_work/audio_engineering_repo_skeleton_v1/experiments/mmaudio_baseline_2026_06_30/candidates/forest_bird_branch_001__mmaudio__dss_compact.wav,True,8.0,16000,1,0.016216369345784187,0.35369873046875,0.0,0.0085078125,0.0318
forest_bird_branch_001__mmaudio__dss_avoid_priority,forest_bird_branch_001,MMAudio,dss_avoid_priority,fallback_control_generated,True,False,mmaudio_repo_env_missing,/home/GRT/work/grt_work/audio_engineering_repo_skeleton_v1/experiments/mmaudio_baseline_2026_06_30/candidates/forest_bird_branch_001__mmaudio__dss_avoid_priority.wav,True,8.0,16000,1,0.016114918515086174,0.350006103515625,0.0,0.0088671875,0.0069
glass_drop_room_001__mmaudio__dss_compact,glass_drop_room_001,MMAudio,dss_compact,fallback_control_generated,True,False,mmaudio_repo_env_missing,/home/GRT/work/grt_work/audio_engineering_repo_skeleton_v1/experiments/mmaudio_baseline_2026_06_30/candidates/glass_drop_room_001__mmaudio__dss_compact.wav,True,7.0,16000,1,0.016829639673233032,0.4444580078125,0.0,0.008616071428571428,0.0058
glass_drop_room_001__mmaudio__dss_avoid_priority,glass_drop_room_001,MMAudio,dss_avoid_priority,fallback_control_generated,True,False,mmaudio_repo_env_missing,/home/GRT/work/grt_work/audio_engineering_repo_skeleton_v1/experiments/mmaudio_baseline_2026_06_30/candidates/glass_drop_room_001__mmaudio__dss_avoid_priority.wav,True,7.0,16000,1,0.01716248132288456,0.352752685546875,0.0,0.00842857142857143,0.0058
kitchen_chop_sizzle_001__mmaudio__dss_compact,kitchen_chop_sizzle_001,MMAudio,dss_compact,fallback_control_generated,True,False,mmaudio_repo_env_missing,/home/GRT/work/grt_work/audio_engineering_repo_skeleton_v1/experiments/mmaudio_baseline_2026_06_30/candidates/kitchen_chop_sizzle_001__mmaudio__dss_compact.wav,True,10.0,16000,1,0.015135027468204498,0.32940673828125,0.0,0.008675,0.0094
kitchen_chop_sizzle_001__mmaudio__dss_avoid_priority,kitchen_chop_sizzle_001,MMAudio,dss_avoid_priority,fallback_control_generated,True,False,mmaudio_repo_env_missing,/home/GRT/work/grt_work/audio_engineering_repo_skeleton_v1/experiments/mmaudio_baseline_2026_06_30/candidates/kitchen_chop_sizzle_001__mmaudio__dss_avoid_priority.wav,True,10.0,16000,1,0.015005960129201412,0.377410888671875,0.0,0.0087,0.0084
robot_warehouse_pick_001__mmaudio__dss_compact,robot_warehouse_pick_001,MMAudio,dss_compact,fallback_control_generated,True,False,mmaudio_repo_env_missing,/home/GRT/work/grt_work/audio_engineering_repo_skeleton_v1/experiments/mmaudio_baseline_2026_06_30/candidates/robot_warehouse_pick_001__mmaudio__dss_compact.wav,True,11.0,16000,1,0.014517366886138916,0.33758544921875,0.0,0.008488636363636363,0.0089
robot_warehouse_pick_001__mmaudio__dss_avoid_priority,robot_warehouse_pick_001,MMAudio,dss_avoid_priority,fallback_control_generated,True,False,mmaudio_repo_env_missing,/home/GRT/work/grt_work/audio_engineering_repo_skeleton_v1/experiments/mmaudio_baseline_2026_06_30/candidates/robot_warehouse_pick_001__mmaudio__dss_avoid_priority.wav,True,11.0,16000,1,0.01481595914810896,0.3558349609375,0.0,0.009130681818181819,0.0093
street_rain_crosswalk_001__mmaudio__dss_compact,street_rain_crosswalk_001,MMAudio,dss_compact,fallback_control_generated,True,False,mmaudio_repo_env_missing,/home/GRT/work/grt_work/audio_engineering_repo_skeleton_v1/experiments/mmaudio_baseline_2026_06_30/candidates/street_rain_crosswalk_001__mmaudio__dss_compact.wav,True,9.0,16000,1,0.015538826584815979,0.36334228515625,0.0,0.008923611111111111,0.008
street_rain_crosswalk_001__mmaudio__dss_avoid_priority,street_rain_crosswalk_001,MMAudio,dss_avoid_priority,fallback_control_generated,True,False,mmaudio_repo_env_missing,/home/GRT/work/grt_work/audio_engineering_repo_skeleton_v1/experiments/mmaudio_baseline_2026_06_30/candidates/street_rain_crosswalk_001__mmaudio__dss_avoid_priority.wav,True,9.0,16000,1,0.015169627964496613,0.32318115234375,0.0,0.009055555555555556,0.0075
subway_arrival_door_001__mmaudio__dss_compact,subway_arrival_door_001,MMAudio,dss_compact,fallback_control_generated,True,False,mmaudio_repo_env_missing,/home/GRT/work/grt_work/audio_engineering_repo_skeleton_v1/experiments/mmaudio_baseline_2026_06_30/candidates/subway_arrival_door_001__mmaudio__dss_compact.wav,True,12.0,16000,1,0.014335204847157001,0.37310791015625,0.0,0.009104166666666667,0.0107
subway_arrival_door_001__mmaudio__dss_avoid_priority,subway_arrival_door_001,MMAudio,dss_avoid_priority,fallback_control_generated,True,False,mmaudio_repo_env_missing,/home/GRT/work/grt_work/audio_engineering_repo_skeleton_v1/experiments/mmaudio_baseline_2026_06_30/candidates/subway_arrival_door_001__mmaudio__dss_avoid_priority.wav,True,12.0,16000,1,0.014108228497207165,0.320068359375,0.0,0.008489583333333333,0.0102
