candidateId,sourceSlotId,requestId,sourceEventId,sceneId,blueprintId,layer,eventLabel,startSec,endSec,durationSec,candidateUri,sampleRate,channels,candidateStatus
procedural_v0_0001,slot_v0_0001_generation_fallback,car_v1_0001_seed_0001_case_48b11c_evt_001,seed_0001_case_48b11c_evt_001,seed_0001_case_48b11c,blueprint_v1_66d315251e,ambience,contextual ambience bed,0.0,8.0,8.0,artifacts/audio_candidates/week12_procedural_baseline_v0/0001_slot_v0_0001_generation_fallback.wav,16000,1,CANDIDATE_ATTACHED_PROCEDURAL_BASELINE
procedural_v0_0002,slot_v0_0002_generation_fallback,car_v1_0002_seed_0001_case_48b11c_evt_002,seed_0001_case_48b11c_evt_002,seed_0001_case_48b11c,blueprint_v1_66d315251e,foley,time-aligned footsteps,1.44,5.76,4.32,artifacts/audio_candidates/week12_procedural_baseline_v0/0002_slot_v0_0002_generation_fallback.wav,16000,1,CANDIDATE_ATTACHED_PROCEDURAL_BASELINE
procedural_v0_0003,slot_v0_0003_generation_fallback,car_v1_0003_seed_0002_case_adc34a_evt_001,seed_0002_case_adc34a_evt_001,seed_0002_case_adc34a,blueprint_v1_a221f75cba,ambience,contextual ambience bed,0.0,8.0,8.0,artifacts/audio_candidates/week12_procedural_baseline_v0/0003_slot_v0_0003_generation_fallback.wav,16000,1,CANDIDATE_ATTACHED_PROCEDURAL_BASELINE
procedural_v0_0004,slot_v0_0004_generation_fallback,car_v1_0004_seed_0002_case_adc34a_evt_002,seed_0002_case_adc34a_evt_002,seed_0002_case_adc34a,blueprint_v1_a221f75cba,foley,door close impact,1.44,5.76,4.32,artifacts/audio_candidates/week12_procedural_baseline_v0/0004_slot_v0_0004_generation_fallback.wav,16000,1,CANDIDATE_ATTACHED_PROCEDURAL_BASELINE
procedural_v0_0005,slot_v0_0005_generation_fallback,car_v1_0005_seed_0003_case_9eb26a_evt_001,seed_0003_case_9eb26a_evt_001,seed_0003_case_9eb26a,blueprint_v1_276cc4a44c,ambience,contextual ambience bed,0.0,8.0,8.0,artifacts/audio_candidates/week12_procedural_baseline_v0/0005_slot_v0_0005_generation_fallback.wav,16000,1,CANDIDATE_ATTACHED_PROCEDURAL_BASELINE
procedural_v0_0006,slot_v0_0006_generation_fallback,car_v1_0006_seed_0003_case_9eb26a_evt_002,seed_0003_case_9eb26a_evt_002,seed_0003_case_9eb26a,blueprint_v1_276cc4a44c,foley,raindrop impacts on window,1.44,5.76,4.32,artifacts/audio_candidates/week12_procedural_baseline_v0/0006_slot_v0_0006_generation_fallback.wav,16000,1,CANDIDATE_ATTACHED_PROCEDURAL_BASELINE
procedural_v0_0007,slot_v0_0007_generation_fallback,car_v1_0007_seed_0004_case_f9f0fb_evt_001,seed_0004_case_f9f0fb_evt_001,seed_0004_case_f9f0fb,blueprint_v1_2b95ab765d,ambience,contextual ambience bed,0.0,8.0,8.0,artifacts/audio_candidates/week12_procedural_baseline_v0/0007_slot_v0_0007_generation_fallback.wav,16000,1,CANDIDATE_ATTACHED_PROCEDURAL_BASELINE
procedural_v0_0008,slot_v0_0008_generation_fallback,car_v1_0008_seed_0004_case_f9f0fb_evt_002,seed_0004_case_f9f0fb_evt_002,seed_0004_case_f9f0fb,blueprint_v1_2b95ab765d,foley,keyboard typing taps,1.44,5.76,4.32,artifacts/audio_candidates/week12_procedural_baseline_v0/0008_slot_v0_0008_generation_fallback.wav,16000,1,CANDIDATE_ATTACHED_PROCEDURAL_BASELINE
procedural_v0_0009,slot_v0_0009_generation_fallback,car_v1_0009_seed_0005_case_06f366_evt_001,seed_0005_case_06f366_evt_001,seed_0005_case_06f366,blueprint_v1_5e6fcc8a2a,ambience,outdoor bike-pass ambience,0.0,8.0,8.0,artifacts/audio_candidates/week12_procedural_baseline_v0/0009_slot_v0_0009_generation_fallback.wav,16000,1,CANDIDATE_ATTACHED_PROCEDURAL_BASELINE
procedural_v0_0010,slot_v0_0010_generation_fallback,car_v1_0010_seed_0005_case_06f366_evt_002,seed_0005_case_06f366_evt_002,seed_0005_case_06f366,blueprint_v1_5e6fcc8a2a,foley,bicycle pass-by motion cue,1.2,5.44,4.24,artifacts/audio_candidates/week12_procedural_baseline_v0/0010_slot_v0_0010_generation_fallback.wav,16000,1,CANDIDATE_ATTACHED_PROCEDURAL_BASELINE
