case_id,candidate_id,canonical_source,calibrated_rank,calibrated_selection,calibrated_score,calibrated_reason,rank_score,source_label,artifact_path,duration_sec_probe,peak_probe,rms_probe,silence_ratio_probe,path_exists,video_conditioned,readable,eligible_for_rerank,rank_status,selection,rank_reason,reject_reason,repair_action,duration_sec,rms,peak,silence_ratio,audio_probe_error,merge_count
forest_bird_branch_001,forest_bird_branch_001__mmaudio__dss_avoid_priority,fallback_mmaudio,1,winner,0.93,"source_base=0.66 | dss_avoid_priority_bonus=0.065 | artifact_exists_bonus=0.045 | duration_in_demo_range_bonus=0.050,duration=8.0 | peak_healthy_bonus=0.045,peak=0.350006 | rms_healthy_bonus=0.045,rms=0.016115 | low_silence_bonus=0.035,silence=0.008867",1.0,fallback_mmaudio_baseline,experiments/mmaudio_baseline_2026_06_30/candidates/forest_bird_branch_001__mmaudio__dss_avoid_priority.wav,8.0,0.350006,0.016115,0.008867,True,false,true,true,ranked,winner,source=fallback_mmaudio; readable=True; path_exists=True; duration=8.0; peak=0.350006103515625; rms=0.016114918515086174; silence=0.0088671875; merge_count=3,,,8.0,0.016114918515086174,0.350006103515625,0.0088671875,,3
forest_bird_branch_001,forest_bird_branch_001__mmaudio__dss_compact,fallback_mmaudio,2,runner_up,0.915,"source_base=0.66 | dss_compact_bonus=0.035 | artifact_exists_bonus=0.045 | duration_in_demo_range_bonus=0.050,duration=8.0 | peak_healthy_bonus=0.045,peak=0.353699 | rms_healthy_bonus=0.045,rms=0.016216 | low_silence_bonus=0.035,silence=0.008508",1.0,fallback_mmaudio_baseline,experiments/mmaudio_baseline_2026_06_30/candidates/forest_bird_branch_001__mmaudio__dss_compact.wav,8.0,0.353699,0.016216,0.008508,True,false,true,true,ranked,rejected,source=fallback_mmaudio; readable=True; path_exists=True; duration=8.0; peak=0.35369873046875; rms=0.016216369345784187; silence=0.0085078125; merge_count=3,,,8.0,0.016216369345784187,0.35369873046875,0.0085078125,,3
forest_bird_branch_001,forest_bird_branch_001__control_rule_foley_v0,control_rule_foley,3,rejected,0.78,"source_base=0.54 | control_rule_interpretable_bonus=0.020 | artifact_exists_bonus=0.045 | duration_in_demo_range_bonus=0.050,duration=8.0 | peak_healthy_bonus=0.045,peak=0.421448 | rms_healthy_bonus=0.045,rms=0.09411 | low_silence_bonus=0.035,silence=0.002326",1.0,control_seed,/home/GRT/work/audio_engineering_repo_skeleton_v1/artifacts/model_runs/week17_control_baseline/forest_bird_branch_001/forest_bird_branch_001__control_rule_foley_v0.wav,8.0,0.421448,0.09411,0.002326,True,false,true,true,ranked,rejected,source=control_rule_foley; readable=True; path_exists=True; duration=8.0; peak=0.421448; rms=0.09411; silence=0.055628; merge_count=1,,,,,,0.055628,,1
forest_bird_branch_001,forest_bird_branch_001__control_rule_foley_v0,control_or_repair_candidate,4,rejected,0.74,"source_base=0.5 | control_rule_interpretable_bonus=0.020 | artifact_exists_bonus=0.045 | duration_in_demo_range_bonus=0.050,duration=8.0 | peak_healthy_bonus=0.045,peak=0.421448 | rms_healthy_bonus=0.045,rms=0.09411 | low_silence_bonus=0.035,silence=0.002326",1.0,control_or_repair_candidate,artifacts/model_runs/week17_control_baseline/forest_bird_branch_001/forest_bird_branch_001__control_rule_foley_v0.wav,8.0,0.421448,0.09411,0.002326,True,false,true,true,ranked,rejected,source=control_or_repair_candidate; readable=True; path_exists=True; duration=8.0; peak=0.421448; rms=0.09411; silence=0.002326; merge_count=1,,,,,,,,1
glass_drop_room_001,glass_drop_room_001__mmaudio__dss_avoid_priority,fallback_mmaudio,1,winner,0.93,"source_base=0.66 | dss_avoid_priority_bonus=0.065 | artifact_exists_bonus=0.045 | duration_in_demo_range_bonus=0.050,duration=7.0 | peak_healthy_bonus=0.045,peak=0.352753 | rms_healthy_bonus=0.045,rms=0.017162 | low_silence_bonus=0.035,silence=0.008429",1.0,fallback_mmaudio_baseline,experiments/mmaudio_baseline_2026_06_30/candidates/glass_drop_room_001__mmaudio__dss_avoid_priority.wav,7.0,0.352753,0.017162,0.008429,True,false,true,true,ranked,winner,source=fallback_mmaudio; readable=True; path_exists=True; duration=7.0; peak=0.352752685546875; rms=0.01716248132288456; silence=0.00842857142857143; merge_count=3,,,7.0,0.01716248132288456,0.352752685546875,0.00842857142857143,,3
glass_drop_room_001,glass_drop_room_001__mmaudio__dss_compact,fallback_mmaudio,2,runner_up,0.915,"source_base=0.66 | dss_compact_bonus=0.035 | artifact_exists_bonus=0.045 | duration_in_demo_range_bonus=0.050,duration=7.0 | peak_healthy_bonus=0.045,peak=0.444458 | rms_healthy_bonus=0.045,rms=0.01683 | low_silence_bonus=0.035,silence=0.008616",1.0,fallback_mmaudio_baseline,experiments/mmaudio_baseline_2026_06_30/candidates/glass_drop_room_001__mmaudio__dss_compact.wav,7.0,0.444458,0.01683,0.008616,True,false,true,true,ranked,rejected,source=fallback_mmaudio; readable=True; path_exists=True; duration=7.0; peak=0.4444580078125; rms=0.016829639673233032; silence=0.008616071428571428; merge_count=3,,,7.0,0.016829639673233032,0.4444580078125,0.008616071428571428,,3
glass_drop_room_001,glass_drop_room_001__control_rule_foley_v0,control_rule_foley,3,rejected,0.78,"source_base=0.54 | control_rule_interpretable_bonus=0.020 | artifact_exists_bonus=0.045 | duration_in_demo_range_bonus=0.050,duration=7.0 | peak_healthy_bonus=0.045,peak=0.409882 | rms_healthy_bonus=0.045,rms=0.104635 | low_silence_bonus=0.035,silence=0.00336",1.0,control_seed,/home/GRT/work/audio_engineering_repo_skeleton_v1/artifacts/model_runs/week17_control_baseline/glass_drop_room_001/glass_drop_room_001__control_rule_foley_v0.wav,7.0,0.409882,0.104635,0.00336,True,false,true,true,ranked,rejected,source=control_rule_foley; readable=True; path_exists=True; duration=7.0; peak=0.409882; rms=0.104635; silence=0.078286; merge_count=1,,,,,,0.078286,,1
glass_drop_room_001,glass_drop_room_001__control_rule_foley_v0,control_or_repair_candidate,4,rejected,0.74,"source_base=0.5 | control_rule_interpretable_bonus=0.020 | artifact_exists_bonus=0.045 | duration_in_demo_range_bonus=0.050,duration=7.0 | peak_healthy_bonus=0.045,peak=0.409882 | rms_healthy_bonus=0.045,rms=0.104635 | low_silence_bonus=0.035,silence=0.00336",1.0,control_or_repair_candidate,artifacts/model_runs/week17_control_baseline/glass_drop_room_001/glass_drop_room_001__control_rule_foley_v0.wav,7.0,0.409882,0.104635,0.00336,True,false,true,true,ranked,rejected,source=control_or_repair_candidate; readable=True; path_exists=True; duration=7.0; peak=0.409882; rms=0.104635; silence=0.00336; merge_count=1,,,,,,,,1
glass_drop_room_001,glass_drop_room_001__mmaudio__true_replacement_v0,true_mmaudio_blocker,5,rejected,0.0,true_mmaudio_blocked_by_torch_torchaudio_abi,0.0,true_mmaudio_attempt,,,,,,False,false,false,false,blocked,rejected,true_mmaudio_runtime_blocked_not_eligible,true_mmaudio_attempt_not_readable_or_not_generated,,0,0,0,1,empty_path,1
glass_drop_room_001,true_mmaudio_attempt__blocked__20260701,true_mmaudio_blocker,6,rejected,0.0,true_mmaudio_blocked_by_torch_torchaudio_abi,0.0,true_mmaudio_attempt,reports/mmaudio_true_one_attempt_failures.json,,,,,True,false,false,false,blocked,rejected,true_mmaudio_runtime_blocked_not_eligible,candidate_id=glass_drop_room_001__mmaudio__true_replacement_v0; case_id=glass_drop_room_001; model=MMAudio; status=blocked; video_conditioned=False; fallback_used=False,keep_as_blocker_then_use_labeled_fallback_race,,,,,not_wav,1
