job_id,case_id,variant,duration_sec,changed,old_prompt_chars,new_prompt_chars,old_prompt_head,new_prompt_head
w18_001_forest_bird_branch_001_naive,forest_bird_branch_001,naive,8.0,False,240,240,Create realistic sound effects for this short video. Scene: forest close-up with a bird moving on a branch. Use natural ambience and match visible actions. Avoi,Create realistic sound effects for this short video. Scene: forest close-up with a bird moving on a branch. Use natural ambience and match visible actions. Avoi
w18_002_forest_bird_branch_001_naive_rich,forest_bird_branch_001,naive_rich,8.0,False,528,528,"Create realistic sound effects for this short video. Scene: forest close-up with a bird moving on a branch. The visible actions include: around 0.00s, forest fo","Create realistic sound effects for this short video. Scene: forest close-up with a bird moving on a branch. The visible actions include: around 0.00s, forest fo"
w18_003_forest_bird_branch_001_dss_global,forest_bird_branch_001,dss_global,8.0,True,316,315,"Generate synchronized audio for a 10.0s video. Global scene: forest close-up with a bird moving on a branch. Overall style: realistic Foley, no speech, no backg","Generate synchronized audio for a 8.0s video. Global scene: forest close-up with a bird moving on a branch. Overall style: realistic Foley, no speech, no backgr"
w18_004_forest_bird_branch_001_dss_event_timeline,forest_bird_branch_001,dss_event_timeline,8.0,True,754,753,Generate audio for a 10.0s video using this event timeline. Scene: forest close-up with a bird moving on a branch. Event timeline: 0.00s: object=forest; action=,Generate audio for a 8.0s video using this event timeline. Scene: forest close-up with a bird moving on a branch. Event timeline: 0.00s: object=forest; action=f
w18_005_forest_bird_branch_001_dss_layer_avoid,forest_bird_branch_001,dss_layer_avoid,8.0,False,880,880,Generate layered video-synchronized audio. Scene layer: forest close-up with a bird moving on a branch. Foley layer must emphasize these events: 0.00s: object=f,Generate layered video-synchronized audio. Scene layer: forest close-up with a bird moving on a branch. Foley layer must emphasize these events: 0.00s: object=f
w18_006_glass_drop_room_001_naive,glass_drop_room_001,naive,7.0,False,248,248,"Create realistic sound effects for this short video. Scene: quiet indoor room, a glass object drops and breaks on a hard floor. Use natural ambience and match v","Create realistic sound effects for this short video. Scene: quiet indoor room, a glass object drops and breaks on a hard floor. Use natural ambience and match v"
w18_007_glass_drop_room_001_naive_rich,glass_drop_room_001,naive_rich,7.0,False,555,555,"Create realistic sound effects for this short video. Scene: quiet indoor room, a glass object drops and breaks on a hard floor. The visible actions include: aro","Create realistic sound effects for this short video. Scene: quiet indoor room, a glass object drops and breaks on a hard floor. The visible actions include: aro"
w18_008_glass_drop_room_001_dss_global,glass_drop_room_001,dss_global,7.0,True,324,323,"Generate synchronized audio for a 10.0s video. Global scene: quiet indoor room, a glass object drops and breaks on a hard floor. Overall style: realistic Foley,","Generate synchronized audio for a 7.0s video. Global scene: quiet indoor room, a glass object drops and breaks on a hard floor. Overall style: realistic Foley, "
w18_009_glass_drop_room_001_dss_event_timeline,glass_drop_room_001,dss_event_timeline,7.0,True,780,779,"Generate audio for a 10.0s video using this event timeline. Scene: quiet indoor room, a glass object drops and breaks on a hard floor. Event timeline: 0.00s: ob","Generate audio for a 7.0s video using this event timeline. Scene: quiet indoor room, a glass object drops and breaks on a hard floor. Event timeline: 0.00s: obj"
w18_010_glass_drop_room_001_dss_layer_avoid,glass_drop_room_001,dss_layer_avoid,7.0,False,906,906,"Generate layered video-synchronized audio. Scene layer: quiet indoor room, a glass object drops and breaks on a hard floor. Foley layer must emphasize these eve","Generate layered video-synchronized audio. Scene layer: quiet indoor room, a glass object drops and breaks on a hard floor. Foley layer must emphasize these eve"
